"","R1","R2","R3","R4","R5","R6","R7","R8","R9","R10","R11","R12","R13","R14","R15","R16","R17","R18","R19","R20","R21","R22","R23","R24","R25","R26","R27","R28","R29","R30","R31","R32","R33","R34","R35","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","C13","C14","C15","C16","C17","C18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29"
"theta_B",16.3524447474629,12.9020385770127,11.0151608893648,14.312756631989,15.2081638621166,17.1182373561896,19.8818049696274,12.095128709916,17.6510327868164,15.0928472331725,13.54964180151,17.8741087508388,11.9201786164194,18.0127829383127,10.2917980309576,10.0779045652598,18.9723316510208,11.5488650323823,12.1821367763914,19.6344636008143,11.3611414562911,17.9404953774065,13.6821352876723,16.7937132157385,12.6076290546916,18.0552525748499,11.7786045372486,19.6146517340094,17.7940297056921,15.7693684916012,18.3216672670096,18.3234509825706,18.7866310053505,17.6062843948603,10.6180595397018,13.004648135975,18.0611816933379,17.9943112190813,19.3146275915205,15.9774293447845,12.0554818212986,13.4283540328033,18.5811495571397,17.9132152930833,13.9433066174388,18.8801091164351,13.7766583566554,18.3016097010113,15.4860099824145,16.1614934890531,17.2882511815988,18.2493317010812,19.8684083670378,13.9480893313885,17.9681400000118,17.5313378078863,13.1986799277365,16.1953014298342,18.0133009958081,17.5321708107367,17.4828115967102,10.7748052338138,13.6841814336367,12.5557643151842
"z_B_init",19.4898297148757,14.8137943167239,18.1362741603516,17.2530131181702,17.212325821165,10.8504994423129,17.7481217402965,10.8353399275802,13.8963787048124,14.5209889067337,11.8827924830839,18.2699362398125,14.3068158603273,17.9706153459847,13.7870732787997,10.7047564908862,13.1962330313399,12.8321827808395,18.2435614219867,10.3163099917583,19.7632238385268,16.3336507277563,10.1059559802525,12.5426202616654,14.9346881126985,11.2482874514535,13.913651315961,18.3448441233486,16.7206640681252,14.1320499544963,12.6341784489341,15.2522006770596,18.0696401093155,15.0486204074696,18.224014500156,15.1979427039623,12.9631751542911,11.3023488339968,10.6059388886206,18.4134293487296,15.7876172545366,12.4282095767558,18.0025651585311,11.0494924755767,17.637991188094,12.7722671697848,12.5028735888191,11.1793335736729,19.5883377431892,16.7475117789581,10.3820820222609,14.9095048429444,19.5504534104839,18.5814000526443,17.9509066673927,10.2487964415923,15.1680924417451,18.9849611441605,11.6221937001683,14.0501307463273,16.8365827342495,12.5480858003721,10.155230872333,19.6588496305048
"z_B_final",15.3653310936118,12.5614336784646,11.0100804382925,13.7211316054918,14.6874728069964,16.0507189087703,18.0166104976349,12.0681086387824,16.356900956813,14.5142320249427,13.2911784105019,16.3477881393482,12.2915658885052,16.7105012754298,10.927887798889,10.3550042222252,16.6949553370925,11.659407351966,12.2657646651714,17.4149819644949,12.0453848167936,16.4647673899961,13.0708857175166,15.4806543051284,12.6653222284675,16.314629100075,12.1336135803435,17.6430445578231,16.5403101402826,14.7020125737372,16.0345129770182,16.7102563283614,16.7404215705603,16.4757240056879,10.6862437583357,12.4006334834455,16.320312558906,16.5097473856856,17.6909997300246,14.8278975875261,12.0728540728992,13.139753034602,16.9075537466388,16.4691071735846,13.4520684307914,17.1625896344572,13.1466601071035,16.6536990782975,14.4270420635381,15.2373808136447,15.7608142083985,17.0424810950919,17.729658389244,12.9145638207406,16.2388596837635,16.4198010242767,12.7629686386259,15.0010619656166,16.5958978639878,15.8107287044345,16.1190765186176,10.7622105151469,13.9904736797838,12.1961918241099
