"","R1","R2","R3","R4","R5","R6","R7","R8","R9","R10","R11","R12","R13","R14","R15","R16","R17","R18","R19","R20","R21","R22","R23","R24","R25","R26","R27","R28","R29","R30","R31","R32","R33","R34","R35","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","C13","C14","C15","C16","C17","C18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29"
"theta_B",11.0337616805919,11.2340688402764,11.4454400027171,14.1910790512338,15.8205709606409,17.9666920029558,14.9428205192089,15.0323857786134,18.7471888121217,18.8275636755861,17.951477826573,10.6877604313195,10.2171346102841,14.4040850782767,13.4920839453116,13.6979865585454,14.9503608630039,19.7656237729825,18.6707674595527,19.1754695912823,18.5123904026113,14.1767084714957,18.608152649831,16.0899757640436,19.2771626776084,18.8092670054175,12.1767720696516,12.0415237639099,11.0945895081386,12.5678944750689,11.6966903582215,12.4166686879471,19.856255762279,16.6941663087346,14.276534281671,12.5249026180245,18.6905541387387,16.4041560981423,19.1310119745322,19.9268945259973,18.0049458285794,13.2745262468234,10.8469078270718,10.0185758015141,19.105875599198,11.5177635569125,16.7616967530921,18.9801786653697,13.9230015827343,11.9379962421954,10.7034349860623,18.267474595923,15.3042986569926,16.8448686529882,13.5224977880716,10.9413435915485,16.3266044971533,13.1368120037951,11.1539793130942,18.52886099834,18.0273139663041,16.4716786891222,12.0259700063616,13.7597111868672
"z_B_init",18.8729699072428,11.8804856808856,10.0109508563764,19.222786128521,11.3058847538196,10.0971100875176,14.834021255374,17.9094929713756,18.9749239664525,17.6851679966785,15.4602617933415,10.4168980801478,14.892437288072,19.5582333020866,18.7771927285939,15.7625896297395,10.5731170158833,18.4065797342919,12.6719475188293,14.9355745199136,16.3958037877455,14.4474794878624,13.5713796573691,12.1860595466569,10.0207831850275,10.5138449580409,12.7156960731372,12.8371405787766,18.5809749388136,12.5000227661803,13.8353430014104,10.1895758067258,16.154336030595,11.7003407003358,10.9308012784459,16.8775909184478,16.4497827319428,10.9357987646945,12.4496492138132,19.186328642536,16.1127156298608,16.024318751879,13.1502656475641,19.2408783943392,12.5715078087524,17.9183623637073,15.3001618548296,15.6524254498072,10.6874202913605,14.7770447889343,13.3763647032902,12.9656644631177,19.6903295023367,11.0202918667346,18.4933483181521,11.7643057880923,10.7102996949106,18.0024265870452,16.549790778663,13.9269140688702,14.8789595672861,18.5627068136819,12.4721713457257,14.6899031242356
"z_B_final",11.0503714932052,11.2471166281513,11.5105407706787,13.7460365927156,15.0891599914001,17.1001564957256,14.3057160627995,14.3627524429707,17.5667777916241,17.6243943024569,16.7954897770122,10.8503378984823,10.1363466609672,13.6897131330108,13.6607417526914,13.2130109812646,14.2190303851516,18.2912501502172,17.6489273703496,17.889174830902,16.8074265021957,14.0807135072975,17.4769827578863,15.5411903921226,18.0626020090914,17.8031595636355,12.6292893475865,11.7837120465146,10.8130542179758,12.7228361656942,11.607257533457,12.6577393126388,18.5830281126242,15.699630971271,13.5380494800563,12.2835326640622,17.5719925941839,15.3764138760948,17.7819773529764,18.4859676091894,16.8047938162523,12.827084009466,10.8183946147231,10.0897451621586,17.8412406146819,11.3863970162066,15.6536230662104,17.7160421846573,13.2926134481641,11.7113927363558,10.6514632413619,17.226282587549,14.5522936174269,15.5864340929586,13.2556197020107,11.087108956091,15.5997535561212,12.3652853870786,11.0063871663212,16.9919660032191,16.9925373837949,15.1812428464625,11.9434597313542,13.709348019924
