"","R1","R2","R3","R4","R5","R6","R7","R8","R9","R10","R11","R12","R13","R14","R15","R16","R17","R18","R19","R20","R21","R22","R23","R24","R25","R26","R27","R28","R29","R30","R31","R32","R33","R34","R35","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","C13","C14","C15","C16","C17","C18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29"
"theta_B",12.0149617572315,15.4369825893082,16.2921741767786,13.7094338634051,13.8475194410421,13.2603954104707,19.2343239486217,16.0515957069583,17.9691097605973,18.607208461035,16.1883433768526,11.2965577933937,19.807028286159,19.9476842442527,12.965446638409,16.0456535662524,16.9482582993805,10.9817481506616,14.6603149618022,11.8270118162036,19.4314667652361,16.4184997766279,18.7010761583224,13.7404743162915,11.10101939179,10.0306762731634,11.3068632106297,13.1177201401442,19.374261284247,10.063180627767,17.4162134411745,11.5751664526761,10.722744918894,18.7643931666389,19.1110386955552,18.0138542316854,16.5770051791333,14.6633408265188,15.3292638529092,19.802195050288,16.7695161909796,18.7861768738367,19.5963927870616,10.8108294988051,10.8952211588621,18.313428198453,17.1051722322591,16.7852298379876,10.3662907285616,13.144592193421,18.3492615632713,13.6731486348435,17.084351121448,11.7838350730017,19.9132179911248,10.098226305563,19.2718317708932,17.8259234805591,15.9286886733025,13.1446843221784,19.3119583535008,12.8998427069746,11.432010254357,19.8037025495432
"z_B_init",10.732733909972,13.3742111152969,13.3525739749894,11.7191343614832,13.804443848785,13.1788223586045,12.6406035409309,19.5905510359444,19.1558743501082,18.8857307797298,19.7087941644713,14.2481383355334,19.5173542853445,13.1312507530674,15.7255773502402,14.7810088144615,15.1487572398037,12.0248361071572,13.9044230221771,10.0255620339885,15.2479077503085,14.8502225265838,16.0431252466515,13.0698918551207,12.6900072721764,18.1778670591302,14.5270342612639,18.4495988348499,10.4788731480949,17.3541591130197,19.369214058388,10.2221853006631,11.2660421128385,16.2236664560623,14.5359414024279,17.7497104345821,19.7769442410208,13.4685882134363,15.9296962548979,12.8715740307234,16.9020639709197,19.2559542553499,11.628183433786,13.3109989482909,18.3803804800846,17.3141248128377,14.1844688518904,10.56788751157,13.3600254543126,13.6356160696596,14.3454732815735,13.0994513584301,16.4352175197564,14.3287030933425,13.1357625010423,11.2634702213109,13.7352161598392,13.4965362865478,17.2318277880549,12.2611386957578,15.2727182186209,17.3505877703428,10.6238080188632,11.3891663495451
"z_B_final",11.7842449950647,14.8524721553695,15.5941254479138,13.3879905060329,13.4462006310894,13.076494225348,18.2122824719091,15.5026573578973,17.1066608222904,17.6529051732466,15.5857898671944,11.6126505593477,18.6278945650621,18.5777301192198,12.8847645823739,15.4875786958158,16.2362641230172,11.2458206228942,14.1952951724981,12.0630171893481,18.0246211841752,15.7748206744434,17.827734003536,13.7065564747464,11.7206740307485,10.6517108455251,11.5562750834359,12.7729224674372,17.874493530624,10.0740427263506,16.7439386374257,11.7950182297895,11.2379451391783,17.5294084986379,18.0990618409047,17.1970122885716,15.8707291709165,14.2181117258606,14.7586928778057,18.6367702409508,16.0889413704395,17.8428561143071,18.2017181931975,10.9008561683582,10.7930009138695,17.396573680395,16.3175621033463,15.9967546355589,10.3864585973266,12.7786107049826,17.4612940733418,13.2684161543019,16.3976917529386,11.8288222219913,18.8129913248787,11.0978050970907,17.9040237067341,16.9418527246056,14.9129626717778,12.8081856028528,17.873550698079,12.8258914690726,11.9131621685555,18.0091433167392
