"","R1","R2","R3","R4","R5","R6","R7","R8","R9","R10","R11","R12","R13","R14","R15","R16","R17","R18","R19","R20","R21","R22","R23","R24","R25","R26","R27","R28","R29","R30","R31","R32","R33","R34","R35","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","C13","C14","C15","C16","C17","C18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29"
"theta_B",10.2542721084319,14.9654008354992,13.2745420210995,11.4507914031856,14.9599555344321,13.0072726123035,16.2581908749416,11.9504541484639,14.586226476822,13.5170377604663,12.0504269050434,18.664005738683,19.8813823214732,13.4359314804897,10.0317456573248,15.0843404000625,16.5085679944605,12.348919112701,14.6412905398756,10.8783327741548,19.8821153165773,10.622639504727,16.7755645653233,14.5705207251012,15.2099812147208,13.1426106276922,12.8635854669847,10.4763598763384,16.962546184659,15.4239238565788,12.8914473578334,10.3856083494611,11.7604334512725,17.7876697783358,12.5423251488246,19.7555587184615,18.6345135816373,10.642877346836,15.4481089534238,13.2501542987302,11.5677747060545,16.5429873601533,19.654033491388,10.4480915819295,18.460989696905,10.0334917195141,15.592544125393,13.5733577259816,10.9729150286876,19.453752678819,14.9535725777969,13.0940682743676,13.3347995951772,18.1863553356379,16.2326242402196,19.8121211444959,14.8084960621782,19.8277594684623,17.9133048118092,13.7176879053004,14.2088955268264,16.0941222775728,10.2601727936417,15.4183895303868
"z_B_init",15.0682162842713,17.8025969001465,13.2282346882857,13.2496084854938,17.0893861306831,17.110857302323,10.5813797260635,10.6195941613987,18.8006766070612,17.3083993629552,18.7728504999541,17.7039217157289,14.5727096451446,11.8882668367587,12.1201529493555,14.4095569429919,18.9282522210851,19.3643487454392,11.4268077397719,14.3031007261015,16.4814511011355,15.1019650674425,12.5396263692528,16.7944359313697,19.270746842958,18.0084704654291,12.8987690550275,18.2983078667894,16.4443913963623,13.7149342685007,15.2060511987656,15.2867715340108,19.1581843490712,11.5999314840883,12.2664419002831,11.3142347638495,10.8198390086181,13.4441893943585,16.9040666799992,11.4296110463329,11.6093926061876,19.0518833533861,17.2784507297911,14.150890156161,10.1257654256187,16.4169727149419,19.3488794588484,14.1768432338722,15.8296602405608,15.2415517088957,14.6133877057582,16.7015591985546,18.6455360753462,18.5508876573294,14.8920210357755,15.1174879120663,14.6619254746474,15.2405673521571,16.2958545680158,19.3748602177948,14.2141121439636,17.3705237032846,14.6095288102515,15.650093536824
"z_B_final",10.3860968487297,14.1884412972101,12.6277458883303,11.3949884962249,14.1066879840243,12.3304326290254,14.9198406134103,11.8729782791066,13.3528233051546,13.0419593368891,11.6704223617964,17.1767609682115,18.3865840477056,12.8272928803052,11.0303146446061,14.5144412556133,15.1164747207161,12.1334205809411,14.2409054509118,11.0226563238125,18.2254842190974,11.5052398570323,15.6107165505722,13.7670877759658,13.8653682029915,12.3703386774047,12.3565393406832,10.5021798295539,15.822805798509,14.823337238206,13.2085677470292,11.3666271341506,11.4549570233353,15.5741243515193,12.9086771561603,17.572528640917,16.801201035339,10.7942760532003,14.4364360230484,12.4806241352128,11.4709549902658,15.0710092896017,17.6776560983298,10.8026667812186,16.7103883798565,10.2813465859545,14.2146213217206,12.9006654977756,10.9428162906967,17.7262505192544,13.8929135887974,12.6699594969329,12.5182200252847,16.5038652460018,14.7047204551371,17.2290706204437,13.8704375211597,18.4744409582224,15.3975432095319,12.7773224531845,13.6287784776301,14.5728730649526,10.887157011475,14.2015090457878
