"","R1","R2","R3","R4","R5","R6","R7","R8","R9","R10","R11","R12","R13","R14","R15","R16","R17","R18","R19","R20","R21","R22","R23","R24","R25","R26","R27","R28","R29","R30","R31","R32","R33","R34","R35","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","C13","C14","C15","C16","C17","C18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29"
"theta_B",11.3619544962421,11.8046249006875,11.7294623423368,14.6431977464817,11.5854402794503,14.8901653732173,17.9080472327769,14.3197500146925,11.9766217377037,13.2119909534231,10.8724648645148,10.3883246984333,10.0588961225003,10.9057208523154,14.563016789034,13.9266268233769,18.3147198101506,16.4843916706741,14.2986137862317,12.1301548904739,10.6221564672887,19.9636229895987,10.2128722169437,11.0972440242767,15.4100289265625,11.6364017338492,17.8036730666645,17.4679706688039,17.119595115073,12.3329948191531,14.6449249377474,12.1922356192954,18.3097601844929,16.4903531596065,16.2869134009816,19.5752991084009,13.1676420522854,15.9130126447417,17.7276410791092,16.1536447331309,17.8825137158856,12.1283426810987,15.8912393660285,17.6726851682179,16.4360174490139,16.8445874145254,17.2004204243422,13.7781617580913,18.7236502324231,12.2500148112886,16.4777424652129,12.8941628313623,10.8494516951032,17.5016766623594,18.1953579327092,16.9678733940236,16.2037408421747,13.9566795784049,12.6821181993,11.158692764584,15.5884714215063,17.6782282651402,17.4543797271326,13.6127380048856
"z_B_init",12.4508557305671,13.4370774333365,18.2985358242877,16.899439250119,17.2943626763299,10.392646312248,18.3388945949264,19.3328385497443,18.4649538155645,18.057143939659,12.0723161287606,11.5895238216035,15.7595573924482,15.7087858417071,15.00465543475,18.8745485455729,11.1923388787545,15.0624251784757,10.0953867752105,18.7192933098413,11.9813299272209,14.4469922594726,18.511057458818,19.0868548909202,12.5561047974043,15.0032470258884,10.4993567359634,13.4770763781853,16.0364990867674,10.0253504817374,13.9118541590869,11.9023385620676,12.3347650468349,16.0281676240265,15.819185434375,11.461318328511,10.2005175547674,14.4249378400855,10.8196564344689,14.9510974367149,16.5751489438117,11.9374020793475,15.3575265966356,17.2158093494363,11.7371133458801,16.8616465618834,16.837001349777,12.0611386792734,12.8957990999334,12.037933061365,11.4696477167308,15.203021124471,12.9431535000913,14.1805131477304,17.2624734719284,18.6485850834288,18.2801208039746,19.6834798227064,16.9270650995895,12.0552953518927,11.0216753347777,15.8987926226109,15.1368345669471,18.3908127900213
"z_B_final",11.2788882181934,11.6348826553215,11.9315921666474,13.6693401921745,11.5796000545187,13.9618638866819,16.3225899038859,13.6027891320561,12.0340683822813,12.7819372818076,10.8090005349819,10.7254782968022,10.483218452133,11.0198281950518,13.5699276031615,13.7918719681094,16.6348961669281,15.2299143827406,13.5093859317475,12.0726255287085,10.7009816755027,17.0579353611333,10.4879840032628,11.596523440952,14.3340030034425,11.721783423583,15.817485594252,15.6367952147827,15.4888604776043,12.2824961100022,14.4097826436236,11.8041860406822,16.3407296271365,15.1734618547293,15.5693657206246,17.3728641155015,12.5610475908318,14.6008236923744,16.0176570814542,14.7921314928198,16.2752235560607,11.6915921799473,14.2225947284465,15.7684230837435,14.9651364135758,15.3360805089465,15.5129155701819,12.9278609512234,16.7357001368855,11.7541791454126,15.0904795761212,12.8409689488092,10.8242762188027,15.7045747609145,16.1192197428535,15.0186387581838,14.9148856254178,12.7051779334683,12.0709311944684,11.3714066659353,14.2055878060197,15.6579516375525,16.0986952323036,13.4176964097403
