"","R1","R2","R3","R4","R5","R6","R7","R8","R9","R10","R11","R12","R13","R14","R15","R16","R17","R18","R19","R20","R21","R22","R23","R24","R25","R26","R27","R28","R29","R30","R31","R32","R33","R34","R35","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","C13","C14","C15","C16","C17","C18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29"
"theta_B",14.12522749044,18.1944693927653,10.50518108299,17.6053520757705,14.9050795682706,17.9632499977015,13.4952292102389,11.1858768831007,18.2752944063395,17.8467342420481,10.4577385797165,17.2872381401248,15.9226642549038,14.5498258271255,14.8856542538851,19.4270090595819,18.6395700764842,14.002088510897,11.0853665694594,18.0983431241475,10.6195090408437,14.8726324411109,11.966588946525,11.0724245617166,10.5067166802473,19.4746950222179,17.4222256499343,15.5555474176072,17.6000646618195,11.8257284513675,13.0747429840267,19.3315197643824,17.809557414148,13.1525898422115,14.1921970853582,19.8222176451236,19.353887301404,11.5559942135587,13.8128248602152,10.9679732099175,17.5687630404718,15.142962243408,17.0515053858981,17.2346062562428,18.031197974924,16.1774553940631,18.6450177873485,13.1854285253212,19.0832861955278,10.8727395534515,12.6707284618169,10.8036801731214,14.9791009258479,10.7285250746645,19.0415241243318,15.326665721368,16.5753155527636,12.9337137565017,17.3916771681979,18.3745235321112,14.9026043503545,19.6089522447437,17.2672532498837,15.2911214437336
"z_B_init",18.5447273030877,17.1179138217121,19.5975245302543,11.5430317167193,19.4790146267042,11.7473114700988,16.601829121355,17.5367523846216,14.1067400225438,15.0865135947242,14.4415717548691,14.5380863291211,12.3246594169177,13.4664960391819,18.2600120129064,13.8549166033044,16.2138034007512,14.9312641238794,10.1052679982968,12.425297582522,19.621379270684,13.9038489526138,16.8536258605309,14.1527596395463,19.3150323163718,15.7497606170364,17.3072746908292,15.1887832791544,16.2137204478495,19.8073670524172,16.4880680548958,12.1103683789261,18.3713960228488,10.480193127878,12.7352450718172,17.8948805783875,10.3121248097159,12.6554429694079,18.0540877673775,17.4713003402576,18.6765097989701,15.5954982270487,10.7947105402127,15.2677249512635,12.1803711634129,17.2072603250854,10.6170537485741,10.873301026877,15.8994305506349,14.4723424082622,19.5790270110592,17.8056638780981,16.6363953752443,12.5110506825149,18.1932033435442,17.6411591842771,10.0320438388735,14.0237812115811,16.7677489900962,18.61224781489,16.8025084142573,11.734580125194,17.8282763017341,16.9680642848834
"z_B_final",13.5315289339135,17.1075073240957,10.574775135662,16.6571660999055,14.3101994626917,16.8028939448385,13.0933666106991,11.2883274225887,17.0818938789602,16.5614848514922,10.5592777080812,16.2954738055232,15.0828947541747,13.9442224137836,14.6696489132764,17.9305401413124,17.4620542931565,13.7434262715532,11.5947446802221,16.9554585905604,10.7597280352801,14.708238460086,11.8240447346673,11.2905637159163,10.5328482275226,17.2940751759978,16.5564903084034,14.8166117091126,16.4326417920195,12.2079605577045,13.2636891625677,18.1174537607698,16.092182090603,12.6807246968672,14.2075000353915,18.2384338500282,17.9316891463633,11.5292911931465,13.2434741979727,11.0418584820494,16.467020339641,14.5148437657354,16.0512567938458,16.184992180914,16.7680285688762,15.3037068228395,17.3494357649922,13.2526211965334,17.6243398391335,10.9602519116108,12.3260326247439,10.9873739837082,14.3860893330858,10.7586478632756,17.5505693422291,14.5274979283839,15.5028631995034,12.5294441933699,15.9477896065559,17.1631402170555,13.9116608959646,17.6343432902476,15.8113291663515,14.5203537300287
