"","R1","R2","R3","R4","R5","R6","R7","R8","R9","R10","R11","R12","R13","R14","R15","R16","R17","R18","R19","R20","R21","R22","R23","R24","R25","R26","R27","R28","R29","R30","R31","R32","R33","R34","R35","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","C13","C14","C15","C16","C17","C18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29"
"theta_B",15.5375600210391,13.2744452124462,11.7346369032748,11.7613948555663,16.6085613751784,18.3319719880819,18.0809098854661,18.7914118776098,16.3558387593366,12.39678169135,16.1730383615941,16.0724581731483,10.5614863545634,19.9176391260698,15.1139850053005,14.720136593096,15.8082697191276,15.041665842291,15.3963755210862,14.9616407742724,14.2177585093305,18.9008841454051,12.5184609042481,15.247411869932,14.2851887596771,15.5654843547381,14.871662047226,11.3109472161159,17.156608547084,12.3472556332126,16.995897879824,10.3031674865633,16.2896054890007,16.3528332696296,14.0559171210043,12.7626604144461,13.9169148169458,18.5185585962608,16.8241580738686,16.640748125501,16.3957424391992,10.3074317914434,13.1069458043203,12.3008847702295,14.0827138209715,19.2775073437952,10.3793196100742,15.9656570199877,15.1874477672391,17.9385378910229,18.72444069013,11.8526852549985,12.5334686879069,14.8293182486668,16.5892123407684,16.4766518003307,18.3921951986849,15.5340535542928,16.6786874062382,17.4945914698765,18.5752188134938,10.3292593359947,12.0898253750056,10.4931294964626
"z_B_init",13.2564534293488,19.5215984899551,10.5607853038236,13.7103691860102,14.5868784585036,17.2348503093235,10.3573994874023,14.3644680525176,18.1296562217176,19.6597574255429,18.4420750290155,15.3258562413976,14.9318572529592,19.2682261019945,10.4480436863378,11.5227723540738,12.9837263911031,15.194532442838,14.3754494399764,16.7750282818452,17.5122759421356,19.4167715101503,18.4217895939946,13.366842425894,12.2018808638677,19.2192482715473,18.5677645425312,11.5690634795465,17.9148716293275,18.9253053208813,17.5460802996531,13.9331871899776,11.8177217640914,10.8555572736077,15.3291087318212,13.1156751955859,12.5214742659591,14.5233723125421,10.7620681193657,11.5258419211023,10.8465426717885,10.6745122023858,10.5135368159972,12.0545651647262,13.3264685678296,19.5798592153005,19.6309769246727,18.161248920951,19.120704671368,17.7278677141294,14.468541580718,15.2124004322104,16.628311057575,13.3787072426639,12.6027036737651,10.3076186985709,13.5064080869779,12.6940551958978,11.1114042042755,14.0677931625396,17.177839751821,10.3279844345525,16.3135904679075,11.9392339256592
"z_B_final",14.652865665282,12.8445001287051,11.6669051312311,11.7085969674618,15.3543808354562,16.668773799551,16.6168700394861,17.0326839579039,15.3300455077313,12.2042093490553,15.1588944602577,14.8569457976358,11.1043791707187,18.1590459009323,14.2131011655206,13.9596399139644,14.8375145628507,14.3473605091321,14.4449899542773,14.2527576961739,13.4709665148302,17.0184723869957,12.2823763210265,14.7378305993502,13.7958097401539,14.8245807453595,14.2305235622527,11.9401110636078,15.8802962292403,12.3498482807637,15.1389575791301,10.9637862783416,15.315667890055,15.6848925560842,13.2777313585379,12.4106786431349,13.5120762149129,17.0640531813596,15.8027327644732,15.4821106058467,15.3681398745488,10.7397943324823,12.7624052262258,12.2289188065136,13.4986297868908,17.2867523830356,10.7065191788061,14.8549251561656,14.358783951292,16.4036614293829,16.9531861064325,12.3982643570936,12.2918944468293,13.8829143349649,15.6535144125729,15.9521167990135,16.5078412496397,14.5928605376452,15.4888114441144,15.4930185116363,16.9251176062963,10.4722704718228,12.7348735421325,11.1633436930364
