"","R1","R2","R3","R4","R5","R6","R7","R8","R9","R10","R11","R12","R13","R14","R15","R16","R17","R18","R19","R20","R21","R22","R23","R24","R25","R26","R27","R28","R29","R30","R31","R32","R33","R34","R35","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","C13","C14","C15","C16","C17","C18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29"
"theta_B",15.7701215008274,15.652427256573,10.3306264127605,19.9623532383703,15.0154075748287,10.2342055737972,18.0653689824976,11.4890367537737,15.138449522201,19.8575339675881,15.2804075949825,15.3426642040722,16.8419177387841,15.4269639751874,10.7185424678028,14.5528005459346,18.5803103959188,14.4903758889996,17.8148321877234,17.2346740704961,11.84865136398,12.8081536246464,12.949798849877,11.8371594604105,10.5957456049509,15.0014884024858,10.1828602654859,17.2371900035068,18.1960517982952,13.5873956768773,16.512260409072,10.8102406631224,15.0161017570645,14.6746272081509,10.0460549816489,18.2216594484635,11.9570755166933,14.1817643889226,15.7544194976799,11.7785812099464,12.539413436316,15.6239702785388,14.0392548497766,16.0878633218817,16.1591772804968,19.069324338343,11.9195923767984,11.7689545103349,16.5291793015786,14.4870211370289,19.439862659201,17.1381758805364,19.5752002787776,15.6881037959829,16.0284797544591,12.9688365967013,16.4534540078603,14.2288282187656,19.1221092711203,15.4477101610973,13.4873170824721,19.3747511948459,19.7764169354923,15.1905872207135
"z_B_init",16.4594211289659,12.3990617319942,13.3102845982648,10.197841366753,18.3607816020958,10.8340519992635,16.3749944092706,11.5982383256778,13.0113881477155,11.5402857260779,17.7482434106059,19.3640309432521,17.6036692596972,16.5570194483735,11.3546731485985,15.5265246960334,11.1597802699544,15.4944055923261,11.0143770906143,14.9460550583899,10.9284231043421,15.0990366283804,10.3230106877163,12.7793379616924,18.8040513987653,12.250152642373,12.7837212686427,14.6117273555137,11.950918994844,18.3277695765719,18.4099862165749,10.2344056637958,17.5373573158868,17.1826920239255,14.5225275610574,12.5304149161093,17.8851189184934,14.3473229394294,18.9421891141683,13.8294802024029,19.6054012561217,18.9754876215011,10.6579412496649,17.8398388717324,10.73356625624,17.4262791103683,16.8420978216454,17.0194808929227,12.169396742247,15.3832794795744,10.3300622710958,16.1746005923487,11.4806261332706,17.8019073139876,15.3842006460764,10.543297114782,13.6152325267904,12.3898356291465,11.7015904188156,19.4279852393083,19.249061292503,17.9819147055969,18.7715241732076,17.3337797960266
"z_B_final",14.8661604621176,14.5976791309552,10.8807297873951,17.21834561023,14.3520611136553,10.8532654260651,16.0495420296207,11.4823283074662,14.0245770544678,17.8787792170461,14.4012092403159,14.1793667635775,15.0978416910909,14.2972256280716,10.9471001589584,13.9161713440496,16.7263422067058,13.875708911664,16.0693928997118,15.4931112263501,12.2025449078545,11.9649996964225,12.4088542129816,11.8313614181645,10.8586822459951,13.5864082239712,10.6580071915429,15.7873883713437,16.0217129240628,13.5076918134375,15.6573493617926,10.9158696663502,13.6795076003436,13.7365360993002,11.5110413304367,16.4796757513681,11.7844490168784,13.6559515788997,14.7921692892392,11.8618020212438,12.3546050658663,14.6486965406573,13.7221613329623,14.8328492335553,15.0552479353578,16.635092115551,11.4992585645977,11.7680207185949,15.3001095188006,13.9456616055122,17.8342283823937,15.4973471070096,17.7547726992285,14.5370365915184,15.6690767935623,12.723434399621,14.7113640415578,13.8450936318291,16.9942742571813,14.8776745413988,12.6610832917169,16.2215037527028,17.3483105336938,14.117914966294
