"","R1","R2","R3","R4","R5","R6","R7","R8","R9","R10","R11","R12","R13","R14","R15","R16","R17","R18","R19","R20","R21","R22","R23","R24","R25","R26","R27","R28","R29","R30","R31","R32","R33","R34","R35","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","C13","C14","C15","C16","C17","C18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29"
"theta_A",7.19050590880215,0.489771391730756,6.1398035637103,4.78164093801752,7.6792879961431,5.18072875682265,4.2229366931133,2.33371390495449,6.38042968930677,5.05546854343265,6.2260395870544,0.0914183375425637,7.24770500324667,3.62698814831674,2.87428243551403,4.70206787344068,0.465761586092412,2.34585422324017,5.84505398990586,1.86074478784576,4.56858300836757,3.87960206717253,4.85733269480988,8.0972764804028,9.86775941448286,4.81993897352368,4.24597963690758,1.70433870051056,6.67740521021187,2.68786468775943,4.93256532819942,4.10019333707169,9.70592827303335,2.14869486168027,6.66968997800723,6.77438294049352,9.73661917727441,6.14909375086427,6.80049149785191,3.2597773289308,5.39451997261494,2.45084236375988,1.23847605194896,5.28549400623888,8.05395558243617,8.23083885712549,6.18697996251285,9.18250181945041,6.58871126826853,1.34509200695902,9.43715341389179,4.41857104422525,4.73289103014395,9.01148692006245,9.6733633056283,0.202586913947016,3.20397874340415,7.68713810946792,1.64374958956614,1.1080596758984,7.96034608967602,1.27889980329201,3.79456433700398,1.35569805046543
"z_A_init",5.61520571354777,8.15997453406453,3.18125551566482,7.75198368355632,2.02180577209219,2.11963860783726,2.76895196177065,9.70559573266655,2.0423439424485,3.95021400647238,5.56045113829896,6.14426429616287,0.960271318908781,1.70719960704446,5.23277056869119,6.26006987178698,2.74750847136602,7.34192596981302,5.25357395410538,5.70414619753137,8.09055458754301,5.07948224432766,7.83163233427331,1.06685814913362,6.40504707116634,4.13900630315766,3.60919159604236,4.52710371930152,1.65196677669883,5.98336905241013,3.51697532925755,1.75713403848931,3.00028106197715,7.25593091454357,6.95327833294868,8.72203457169235,4.8535149754025,2.70961940987036,6.13924521254376,6.34557431563735,5.47286416171119,5.92119100969285,4.83937594341114,6.62399801658466,4.4488131836988,3.20438859518617,7.11469599511474,9.89277973305434,8.71394931338727,2.76207140646875,1.62503696978092,9.49346678331494,8.82139597320929,4.3134179408662,3.83277661167085,5.04386603832245,8.71757497778162,9.57637391751632,9.0499776462093,5.80272139282897,5.54526678286493,7.03023721696809,7.33258795924485,6.76290706498548
"z_A_final",8.3535450777298,5.9797689429651,7.72307668146879,7.32098987459259,8.38609162034062,7.98925748314927,7.15214453018169,7.39131223138939,8.61247239813602,7.94126530213355,8.10218242231705,5.49060526201613,8.44406990290276,6.74879582790066,8.05626412234603,7.41233562226665,6.17358801550618,6.62051606281551,8.97382102342428,6.8888111433288,7.15492206587981,8.34074121308253,7.39706888200828,9.46701689074956,8.34980101321378,6.90946564366487,7.25773741552371,6.47294198756357,7.95549781851521,7.66731853609962,7.71002350603165,8.53452296852681,8.28956373986735,7.06152905750761,7.95536450435743,7.80515133934416,9.25028071740825,7.87839610486028,8.08395534513348,6.86987576191656,7.49358191696376,6.28627532677064,5.71323577074179,7.80455710106625,8.70865823809856,8.78051024821623,7.75341645651777,8.96201545981894,8.36274299842257,6.42901981666412,9.10322837262425,7.29433398722574,7.8057446042215,8.19893470296267,8.98259780627822,5.7831047353952,6.69264730550652,8.94384794500673,7.04271551387461,6.16937205979755,9.6240416499915,6.52170905831726,6.98205143711037,5.9924499859404
