"","R1","R2","R3","R4","R5","R6","R7","R8","R9","R10","R11","R12","R13","R14","R15","R16","R17","R18","R19","R20","R21","R22","R23","R24","R25","R26","R27","R28","R29","R30","R31","R32","R33","R34","R35","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","C13","C14","C15","C16","C17","C18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29"
"theta_B",17.4161410238594,14.563530725427,18.0424014339224,14.1052464884706,12.4690339551307,19.5734402025118,10.8905632211827,19.2416633456014,11.0975769278593,13.2999783102423,16.4244106574915,19.06007676851,15.9987510996871,15.724408137612,15.4468563431874,11.3833974208683,13.7269799550995,16.9380630808882,12.0002030790783,12.7561648446135,15.3451510658488,18.2813668600284,15.3460650192574,17.9721175227314,16.8567455210723,11.734458070714,19.9399263318628,10.9241399401799,10.7229829952121,18.1213646521792,10.7731895521283,16.1396889248863,15.1542388089001,12.5064273085445,13.3851201878861,15.9743235586211,15.2975287241861,15.1469503203407,11.7177955014631,11.4794829767197,13.9273479278199,10.0198353733867,10.5834624869749,15.8946181717329,15.6568941404112,14.7947035660036,18.5832282621413,12.4398692697287,10.5631924141198,12.4491267208941,16.6709892312065,12.3315653274767,14.3780878162943,12.1026282361709,13.6667073261924,19.7386764036492,16.756164948456,17.900341481436,14.5793747971766,12.8111476101913,17.7790649863891,18.8946242723614,19.0234408271499,14.7705580596812
"z_B_init",14.5622600149363,13.9092702744529,12.0933749061078,12.4699179921299,11.5472631319426,14.1000681370497,10.1040625129826,16.051445142366,15.5871735163964,16.0552039835602,14.4848171272315,14.4282328197733,16.7934163846076,14.1110823745839,12.5524431513622,13.9145673019812,12.3200515890494,12.6114342547953,16.4488091669045,17.7749306289479,15.7039125403389,14.9046211317182,19.5852593891323,19.0496192709543,16.726550871972,12.3494086088613,18.4093854157254,11.6733916546218,17.9332105256617,12.0628283708356,17.4092682893388,10.502996374853,15.1026437408291,19.4720975519158,14.0979079040699,16.4690446900204,12.7385305613279,18.945702270139,13.6826210678555,17.5942118582316,19.3371628317982,10.8824124955572,11.7096922942437,11.2054734420963,15.2838361170143,12.6110793813132,10.4576925048605,19.8621053993702,18.4085013344884,19.293566076085,13.5464716120623,17.5018994533457,18.0746183730662,15.9939866489731,11.8193179601803,18.1248666602187,15.3237426211126,12.0060209743679,10.9607222978957,10.2369558834471,10.5496885324828,14.535382532049,18.2084020390175,10.388754575979
"z_B_final",14.538818702198,13.357039534789,15.1493834589611,13.235460110085,12.5827392641116,14.5732404522313,12.1417245832999,15.5296723058239,12.0453866782294,12.8668193432015,13.7974653857407,14.9195144277216,14.2305204249837,14.0313574755793,14.2472602469336,12.366859828931,13.2605625414739,14.8179363526839,13.2686074423146,13.1247017678522,13.5998246746851,15.1899568522933,13.9018317828265,15.787627863761,13.4332685208922,11.9217621270051,15.2822729852142,12.1876317754881,12.0545872981669,14.9370229943428,12.8092628468802,14.5020009392055,12.9626466636812,13.1582618138512,13.6205621251391,14.122629490295,14.2386398568874,13.8578223721511,12.4470922893238,12.429068625676,13.1429903512085,11.9532222673175,12.5020046002476,13.886487945481,14.0205191793334,13.410757957486,15.4115359496254,12.5790920952679,12.1112174884914,12.5688794544145,14.9217772298742,12.4920884463333,13.4860745903973,12.5716798267072,13.3626276185082,15.2720613200814,15.2772816178344,14.9629921126437,14.2246270969514,12.8470099335097,15.9235684521519,15.8262907321157,13.8394846185367,14.4182035753748
