"","R1","R2","R3","R4","R5","R6","R7","R8","R9","R10","R11","R12","R13","R14","R15","R16","R17","R18","R19","R20","R21","R22","R23","R24","R25","R26","R27","R28","R29","R30","R31","R32","R33","R34","R35","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","C13","C14","C15","C16","C17","C18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29"
"theta_A",1.47903451230377,0.872351957950741,7.0497645274736,5.24650020059198,7.27156502194703,8.84028858970851,1.10484541626647,8.66561144823208,9.48912916239351,8.98810602258891,3.90809497097507,2.96271663159132,3.93888552673161,2.90580178610981,7.5697679258883,0.832808676641434,8.51416683988646,3.28212250722572,8.32554414169863,1.20995167177171,3.53140728082508,2.66114485450089,9.78500148979947,5.12779264245182,2.83278933027759,8.62194373039529,0.0111205945722759,4.76695745252073,9.1150759300217,9.43165306933224,3.45538252266124,2.1987759298645,5.34223933238536,8.04990382166579,7.91113657876849,2.28513520676643,2.40164142334834,7.25635214243084,5.40866565424949,3.44757406506687,6.71363587258384,2.38428925396875,7.39464399637654,8.50480846362188,9.10153140779585,7.00289893429726,6.39147814363241,6.0842592199333,4.60322760045528,0.314506769645959,6.28760567633435,7.49413419514894,7.69304703688249,2.08839090541005,1.84032916557044,2.74417515611276,8.95718466490507,4.35423847055063,6.55541723361239,1.31853417493403,3.38382224086672,1.37433058582246,0.816669769119471,4.33593135559931
"z_A_init",1.00178404245526,2.87617145804688,6.24359553214163,9.234811111819,8.90115784481168,8.02443582564592,0.99506747443229,5.17452651634812,8.77526369411498,3.41772997286171,5.05995025159791,5.42264033574611,0.997363661881536,2.52439045580104,4.31916935602203,8.2157140225172,8.04365291260183,8.50126285105944,2.27779678069055,4.68944902997464,7.40976745495573,0.166956312023103,1.3387755304575,3.54225419228896,9.94565582834184,9.56554655916989,6.3299276935868,7.88831147132441,4.85070929629728,5.96008179476485,7.74993183789775,5.69794383598492,6.40276398742571,4.20504822162911,0.060336624737829,7.32175786281005,3.78357315436006,9.41478661959991,2.88281243760139,5.24439762113616,8.01107764709741,4.06898946501315,2.70803374471143,7.19121471745893,5.69649062585086,8.13369682058692,0.647494401782751,8.85822769254446,6.19887021835893,7.26672381162643,3.35692645749077,5.41233486263081,3.01474551204592,0.761169262696058,4.75304269930348,6.41648303251714,2.43309804005548,7.36675315769389,4.94471839861944,9.00762018980458,2.71742578363046,7.71680727601051,5.97987290937454,4.0259725600481
"z_A_final",3.0674213675076,2.47814178471616,5.52475621446993,4.98117558468527,6.8661293854434,7.54011181545253,2.40998303626276,7.0057246421669,7.48029985361146,7.1381613352582,3.87039782748399,3.24325542784339,4.00798731913189,2.87363686336086,4.29714847172622,2.09931696380084,6.82595801702371,4.04596403240468,8.69195032172278,2.42773623663399,2.74984504999275,2.8684015329575,5.25947423403478,5.35595604624075,3.45312811292009,5.19699897942937,2.31029847869834,5.684561879706,8.00827366402675,9.02544896065813,3.07219667725753,2.73329030568815,4.17067659619546,6.64445790964963,4.36703384428194,2.90296883043701,2.95612327579969,5.99630181216729,6.51354152044033,3.69974486611521,6.78644343626077,2.97956369638315,4.94353064141954,7.52026481569979,8.86288065471596,6.5252724892873,6.09562075244614,7.04546243991859,4.40279096836006,2.34850007470172,6.75030596159303,7.50664264875812,6.57760648009134,2.37891583198069,5.55262081688021,2.83520317225285,6.17364776726469,4.05914251376644,4.13825074923713,3.87682295793168,4.77624910530565,4.26353723537667,1.91423573308942,4.13341313924825
