"","R1","R2","R3","R4","R5","R6","R7","R8","R9","R10","R11","R12","R13","R14","R15","R16","R17","R18","R19","R20","R21","R22","R23","R24","R25","R26","R27","R28","R29","R30","R31","R32","R33","R34","R35","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","C13","C14","C15","C16","C17","C18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29"
"theta_B",18.4424253273755,15.2172796498053,12.1045985072851,13.8653178629465,13.1822454300709,10.5237988894805,15.232501544524,11.3846053439192,19.4015248515643,12.2671576309949,19.1035144357011,12.3338577500544,13.8589235721156,10.6853584363125,16.3979321019724,16.1052770167589,11.5852849953808,16.3176508131437,14.8201411985792,17.5283962860703,14.6578514040448,19.3144768616185,14.5081608043984,18.6506498209201,11.4804483624175,10.9744554036297,12.600056771189,10.9435518668033,11.7943265731446,17.387569360435,18.3307552617043,13.9179106079973,18.9983387780376,13.9873630437069,12.3112904070877,14.1635078354739,12.49661157839,12.3200578754768,10.9312698571011,11.654483769089,12.4598446022719,17.4050581757911,12.5678666471504,10.5287329177372,14.2310366104357,10.0967986951582,16.7958988575265,16.126341666095,11.4529539691284,16.8238435895182,17.3603646061383,13.6005424940959,12.966369711794,18.6533170053735,13.6579533107579,14.1765462304465,15.9907940542325,14.8036514036357,16.5387773374096,12.2346963663585,10.6182026630268,10.0273175304756,15.8428153442219,14.6733681880869
"z_B_init",11.3070998643525,15.7512048259377,11.2243677442893,10.4650820582174,19.7215792979114,14.7550940257497,18.9691847073846,16.9821009482257,13.9823955018073,10.4097100486979,12.6985107548535,14.0451929112896,14.5371803082526,13.864778005518,10.5127222649753,19.5061389706098,16.9197404640727,15.1437966502272,13.1991479359567,19.8533164523542,13.1542583415285,15.7182548823766,19.6961554419249,14.8615067731589,15.8116088574752,18.535748613067,10.1719369902276,19.004515921697,14.7726222430356,13.5796007257886,12.521560722962,18.7644303892739,18.7263379478827,12.6859827339649,10.5229890276678,17.414124684874,19.1290627000853,13.484455042053,15.0991510064341,16.9625640357845,19.9337604781613,14.2085510166362,18.4594919416122,15.2505738683976,17.3094797250815,16.4073711424135,12.0054429513402,17.5014850869775,16.1408869014122,11.3560183695517,18.9700709679164,18.7772643496282,10.0967050367035,16.3127533625811,19.9412825191393,15.4793802951463,10.7167612318881,16.3197478698567,12.2854531509802,12.6021366100758,15.0770260486752,10.1149167586118,10.12742316816,14.1412600455806
"z_B_final",14.4812202032281,13.5307395454022,12.0015607462377,12.9161326269902,12.0802707890342,11.4738586323504,13.4461289126876,11.752889224987,14.8772631033088,12.1871585747871,15.092284341367,12.2586680382173,12.4113272080926,11.4643898679932,13.2216059471568,13.7738486482474,12.3470215706616,14.6912425569062,13.3566046265353,13.6832998068617,13.2402011361451,14.094601680539,12.719485984945,15.6625440261681,11.4842138262005,11.4316095134651,11.8826458150574,10.7059229961679,11.672260328178,14.5515412083401,14.2174482201494,12.4316493451535,13.6631291061803,12.5173700664695,12.4975813163425,12.9914475009597,12.3169657560985,12.2738638502803,11.4755143125493,11.9204319760065,12.5130392183521,14.3797901455638,12.8960651183293,11.4636258199114,13.6622795515502,10.7868118902159,13.8926513380822,14.3838394734986,12.4664746312283,14.1936672643923,14.2054345663589,12.6942990387887,12.741675072045,14.5513631064634,12.1732237817743,12.0104926948321,15.0824531148957,13.7140932889019,14.6892855275632,12.4361425268013,13.8623539839001,11.1006367984588,13.982128943349,14.4633315439239
