"","R1","R2","R3","R4","R5","R6","R7","R8","R9","R10","R11","R12","R13","R14","R15","R16","R17","R18","R19","R20","R21","R22","R23","R24","R25","R26","R27","R28","R29","R30","R31","R32","R33","R34","R35","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","C13","C14","C15","C16","C17","C18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29"
"theta_B",14.2768093571067,11.697860728018,13.8462527189404,14.4639440462925,10.4828151967376,13.5064540081657,18.2759563392028,14.9806101340801,13.0953829130158,13.8749647606164,10.9171904646792,10.4532049410045,11.0152826434933,11.858409314882,16.9739131978713,10.5806645844132,11.6332064615563,16.3750171405263,15.386098404415,12.1660755272023,16.4529640343972,15.9165131440386,13.1248497939669,10.8310825144872,16.2388063594699,18.3111029257998,10.3577814740129,12.5798132130876,17.9833872406743,15.0160404574126,18.6597240366973,10.8754355437122,10.2728734049015,10.4222091170959,19.8864156147465,19.3027789797634,19.2948976624757,11.568809945602,14.8050172626972,11.5088407625444,16.1833457858302,11.9836779870093,12.5911840982735,18.040171044413,19.024703046307,15.6383859482594,12.0584015804343,16.0291020642035,18.0667289812118,11.4519567671232,17.6534800627269,14.9381298292428,16.5378021798097,11.918153995648,18.8951452285983,11.1283480515704,11.8742432678118,12.5054196803831,13.0864967289381,12.1203398122452,13.596906804014,13.781112737488,10.7172100059688,16.4726376789622
"z_B_init",13.0332455551252,19.5740928128362,12.4149828986265,14.4828710192814,12.0139936287887,15.573161507491,11.3453316246159,16.0758524923585,18.11321338173,10.9150165086612,13.4196316916496,19.6872099465691,17.214877975639,11.1814376874827,14.4658171827905,17.6132414164022,16.5434854151681,18.5896606463939,16.6466036462225,18.0704944976605,19.120660929475,13.4291240898892,13.0148875247687,10.2440757257864,13.8045256515034,14.2087408853695,18.1255474151112,18.8020774442703,13.4975295141339,13.5850948328152,10.1617443934083,15.0679497933015,14.9413482425734,14.8981046723202,19.5676875021309,17.8123945579864,13.0928171169944,11.6617527906783,14.0756366983987,12.8525502048433,11.839388331864,17.9898634715937,15.2614691876806,12.95513499761,19.1968588228337,16.5808412339538,13.2456492632627,18.6139780003577,12.0665370486677,10.8006080705673,14.9648533202708,10.8867853414267,18.0611651367508,18.1890121870674,10.3145206603222,17.3752295458689,18.4756777482107,11.5727117867209,13.6024640756659,16.1048946436495,15.702479458414,19.9335090769455,17.5068093510345,19.9444227921776
"z_B_final",12.2350211130588,11.0093779835126,11.9484949029785,12.2840948130179,11.0513838913088,11.8875315492403,13.9204157047398,12.9856104100939,12.2725561289577,12.3209697425123,10.4968428510049,10.4268838020971,10.5009420377255,10.4999908239631,14.4086451443602,11.1425353790481,11.5458239392014,13.4756382674065,14.1285034911156,12.6486134227872,12.9203708188801,13.9495806768058,12.1835482471924,9.81758998181134,11.7020137533162,12.2206140875921,10.0146742790815,11.2248796577954,13.726409488977,14.0614710085006,14.4923341136038,12.7551985982964,9.89754508770923,10.24923147485,14.9883402770642,14.0337762941924,14.2622820756711,10.9157015819138,12.412124812955,10.6333507264071,12.9453431244253,10.9418428468397,11.0870055081414,13.2170632528105,14.4821821750415,12.6838173790759,11.646081829968,12.284593902774,12.7898605587003,10.7400328367357,13.3653043722311,12.6739446156949,12.7576069665684,11.2135948125365,14.0031616380618,10.1754265706749,10.5753751381444,10.585946675093,11.9571746186167,11.7803578742277,10.1903795724223,12.0226757556971,12.4348204215271,13.4363134837658
