"","R1","R2","R3","R4","R5","R6","R7","R8","R9","R10","R11","R12","R13","R14","R15","R16","R17","R18","R19","R20","R21","R22","R23","R24","R25","R26","R27","R28","R29","R30","R31","R32","R33","R34","R35","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","C13","C14","C15","C16","C17","C18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29"
"theta_B",12.4789669876918,16.1733012949117,17.3758902586997,17.0822524116375,15.6127104442567,19.8134437692352,11.603966888506,17.186608761549,10.7365156570449,17.2459997213446,16.92324280506,12.0514490827918,13.8765910244547,18.1206247373484,11.345753504429,12.3576611070894,16.1166557972319,16.0705325799063,17.4289726722054,10.4247987293638,10.0023215659894,18.8997145369649,10.2107354975305,12.7488694968633,13.8762904470786,12.4401721265167,10.9972445014864,16.4974373974837,11.4649884286337,11.9068969669752,10.3268885775469,10.2298320666887,12.9693384515122,11.1414205399342,18.7835515849292,11.7578623606823,10.137522299774,10.7013600505888,14.5726913982071,18.2778986985795,16.1743717780337,15.7202035351656,17.0894507039338,13.4239255543798,14.6446460811421,18.122695107013,15.985768979881,10.7111751753837,17.760766944848,10.2031638799235,15.200105397962,16.1453432845883,15.2446268196218,13.419887823984,19.4357601297088,17.7610314800404,16.6254923166707,14.3830244615674,13.0141862272285,17.2312609455548,18.8080255128443,17.0728965033777,19.3238955014385,16.0816881828941
"z_B_init",16.68120410759,18.3545587281696,15.9783950773999,17.3015127284452,18.7949452828616,19.2299920599908,16.7426280211657,12.7644956880249,17.2883445071056,13.1900566420518,15.9613873180933,14.9132224149071,12.7145006554201,18.5605648439378,12.8155354200862,10.7756130909547,12.2663623676635,19.2486375337467,19.8205558187328,18.8290714891627,12.7150514838286,15.4052797704935,10.330458485987,10.5534769338556,14.3054661154747,18.2943889894523,17.4450142798014,15.4545915313065,19.889746485278,17.1722714439966,11.1002966621891,18.2435660599731,19.8841771390289,18.9741526311263,17.2841773484834,12.6957757305354,17.7198847848922,15.1539774960838,19.1329871141352,12.2546421806328,16.1105968523771,15.6835332931951,19.2281697504222,16.0667040292174,18.8605361268856,14.4209837447852,12.9972321446985,15.1678554480895,12.7635171008296,10.0645970343612,16.0974707058631,12.6446740562096,13.7391869071871,17.0579367596656,12.1975356037728,11.2961158296093,14.8969377018511,12.4784628488123,13.9651524531655,11.1732227727771,14.4753551692702,10.9847577824257,10.3249154542573,17.9734705761075
"z_B_final",10.7334156284394,11.8007298124537,12.4883784543713,11.9822650169882,11.1335929736083,13.0869151050148,10.8310275182112,12.3515050927949,9.96660096681411,11.8340674625828,12.2366597939362,10.4870012907208,10.7726756287541,11.579021091542,9.47384683348289,10.8077695567533,12.4640109903581,12.0593058703703,11.0717350019379,10.0006745583171,9.31800980243091,11.5006884736405,9.48721267218372,12.1369291852236,12.4889341827354,11.9532717394437,9.78014525926387,11.4098038867406,9.66134616207726,10.2249907699684,9.78265845969682,9.20897677560889,12.1451911455355,9.93150483170208,11.7559731072148,10.2716371081249,9.65385028350319,10.1006009400243,11.3768604978142,12.8776272682944,12.2285187986599,11.3474315821938,12.1602708398703,10.8031956806723,11.0234581235465,11.9319418920108,11.9398645893009,10.1056169688995,12.5871582300405,9.60344018609727,11.5500693915914,12.6399962684234,11.5945178835761,11.3249570181762,13.0986790752969,12.0073873977724,12.579072378319,11.1349426019783,10.4432759849579,12.41083393861,13.3120962159962,12.7712406841788,12.4963896238417,12.1882280026781
