"","R1","R2","R3","R4","R5","R6","R7","R8","R9","R10","R11","R12","R13","R14","R15","R16","R17","R18","R19","R20","R21","R22","R23","R24","R25","R26","R27","R28","R29","R30","R31","R32","R33","R34","R35","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","C13","C14","C15","C16","C17","C18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29"
"theta_A",9.3830449716188,0.671800847630948,7.38060691626742,6.30511389579624,6.40035038581118,8.62969194771722,6.84719529002905,1.05584969976917,3.88020017649978,3.23743839282542,7.53047158941627,8.45421575475484,2.22011194331571,4.89440924720839,2.49897478614002,2.00240675592795,0.505325915291905,9.92723884992301,3.10859923949465,2.14099317789078,3.79592319950461,9.09598614322022,2.82743372023106,4.0577462525107,7.48300729552284,5.29431045753881,1.51158951921389,7.2583289979957,9.65411566896364,2.64693529345095,6.6985616274178,8.14452613703907,6.40265992609784,5.55791996186599,4.48621380375698,3.0882457527332,3.38717277161777,4.61660543689504,5.89309856761247,3.70705059031025,1.45970599725842,3.09821598930284,9.29113769438118,5.25129016721621,4.57060175947845,4.23658774234354,4.55051966942847,6.69808166800067,1.36617187876254,9.92243542335927,9.77718463400379,7.88419557036832,3.12909436877817,0.795624125748873,2.78717871755362,6.80825703777373,6.99793242383748,1.03589589241892,5.06547070574015,2.90180270792916,7.51017874339595,9.60892903152853,3.28979348763824,3.45528963487595
"z_A_init",5.43075070716441,0.105439235921949,1.10554939834401,9.14452666882426,8.03450352745131,2.30743747204542,1.56654750462621,3.04819931741804,2.06335314549506,5.20918889436871,6.66955799795687,0.521363771986216,0.471188998781145,7.17491999501362,3.74270668718964,0.526175878476351,4.28136507747695,4.7642458952032,1.78630177630112,0.275553851388395,5.68188671022654,2.43701402330771,9.55753397895023,6.28048141719773,5.95294292084873,6.86116888886318,1.80973232025281,7.09671031916514,7.76121110189706,6.27653056988493,4.54631950939074,1.06871792348102,7.75516976369545,3.412470666226,9.94777257554233,5.93261525733396,2.88614435587078,9.52128486242145,9.25277004018426,4.0824295883067,1.90184432081878,3.20890946080908,7.8822793927975,6.18720992701128,3.20418557384983,2.94882996473461,6.0703639453277,3.00381623208523,1.36997002642602,6.33224343182519,6.34680894901976,7.16078977100551,5.20204860018566,7.44291428709403,4.85998197225854,8.44825234031305,8.87310554273427,7.03501667594537,5.54149612784386,3.75892269425094,4.32783471886069,0.888159645255655,9.86937022069469,0.462816983927041
"z_A_final",10.2295787509097,7.41639986027033,9.59492043818502,8.61189763165078,9.33793375698579,9.3368817617703,9.35003598056055,7.43144856128465,8.13942796802463,8.00824075011164,8.92929140931169,9.43559234202634,8.2387892937369,9.60473544650122,8.2937019510961,8.10107111023357,7.37672237762913,9.39483126535608,8.23209619925947,8.172586926662,8.46476657287032,9.29113273484135,8.52641331595393,7.86992753190276,9.77790508039564,9.00913059487883,7.81007060885737,9.16088421472031,10.1828677734354,8.11347018521576,9.11299451872924,9.10350919407485,9.60112904053904,9.50714584884805,8.72693117871846,8.55467215060989,8.47812109474483,9.17769273707763,9.14598895019888,8.86886549676165,7.59603491818651,7.98275727817636,9.69984540918005,8.9193013119502,8.72834000352028,8.58529625091852,8.91949769265732,8.66054327638883,8.01024984025237,9.94382290806422,9.96666178526052,9.58861545693342,8.41982919042617,7.83724012942431,7.78578254847063,10.266282090415,8.57653732131265,7.6472198182025,9.94135574356607,7.91768135374144,8.53640321997326,10.1703016229168,8.69653495886952,8.82874146219751
