"","R1","R2","R3","R4","R5","R6","R7","R8","R9","R10","R11","R12","R13","R14","R15","R16","R17","R18","R19","R20","R21","R22","R23","R24","R25","R26","R27","R28","R29","R30","R31","R32","R33","R34","R35","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","C13","C14","C15","C16","C17","C18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29"
"theta_B",16.6896875808015,19.0505511290394,12.2575832717121,13.2911626016721,16.0508643114008,16.2044647731818,10.4090988892131,16.8917232798412,10.7130343117751,10.0489318068139,12.5242585642263,16.2223538081162,14.9489198205993,12.4887030338868,19.8207672848366,15.9523384808563,16.5943240677007,15.9955187700689,14.6114654047415,15.1889496971853,19.9403511267155,13.9015907165594,11.5254831803031,10.4082069522701,18.5637942911126,14.1189874010161,19.256766308099,16.4403757685795,14.8785446234979,12.4335765652359,14.6618502913043,16.4440691238269,18.9360774331726,10.9914957871661,19.6863281889819,10.8519593859091,18.6880832118914,16.3775848434307,16.5584192448296,17.3329458618537,10.0485175917856,19.4864288019016,14.0663749864325,12.0007087080739,16.1978709604591,15.7892669830471,12.2454925207421,16.9727876363322,19.4606823357753,15.0662845303304,18.5640850057825,18.8123113615438,12.7526527130976,14.9097089283168,10.8773832116276,19.0395132265985,10.0240512518212,18.4202468581498,10.780535612721,11.7560592317022,19.9474395182915,14.21753665898,15.1636961195618,11.6718199872412
"z_B_init",11.3613179163076,12.6373376441188,13.0218473798595,13.6012544180267,15.8007083809935,13.0024849809706,17.6100095245056,18.4703000611626,19.2324613337405,13.4041214408353,17.0195453823544,19.5999056333676,11.5203737630509,18.0923166428693,17.1640333696268,18.2780773984268,10.7858755998313,14.7474589943886,15.0273628672585,14.9281743308529,19.4359309808351,12.1865339064971,14.4994235737249,19.990233737044,17.7784235170111,12.6963788992725,18.5261887381785,13.6671390384436,12.4823321471922,11.7809984576888,13.9071638905443,13.973134518601,16.1083647259511,17.2978360811248,13.6337736342102,10.292158764787,16.6314362455159,16.9644065271132,18.5283890808932,12.8443937678821,14.6005889540538,16.2450349261053,14.9147963128053,18.4367836383171,15.9383903793059,10.7818690571003,18.2521916925907,11.0984433046542,19.8553070635535,12.7762105641887,15.0135424477048,12.9293378163129,10.9161720261909,17.6290841004811,19.835282752756,17.2559219459072,14.8276480613276,19.0623620757833,10.5808041500859,19.9548281100579,10.5564777133986,14.2826453712769,12.7117764973082,17.3072383319959
"z_B_final",11.2750846690575,12.0031776681253,10.5290717705066,10.088050227282,11.8353903282827,12.0075668652017,10.4116995892337,11.7574657567471,10.6673355021802,10.3190328278506,11.08067180294,12.0312095488583,11.5729661846523,11.1633095582606,12.2711748371514,10.4552983279278,11.4259145122264,11.9874314708736,11.2062352370074,10.7952731071521,12.58463350591,11.4299191507422,10.4274356257006,8.6103959440713,12.9150601057677,11.2941680821338,12.2842787131746,11.9994960603322,11.6563357645164,10.4491274754774,10.4082271306989,11.8841552892072,12.5478480670768,10.6993737668026,11.5139831077213,10.0802614120675,11.918834090632,11.5778439328141,11.7133345975898,12.181414349196,9.54508157732078,12.7175350432362,10.9575744122736,11.0462858146825,11.0858287916721,11.6065324385478,10.1096480452551,12.205121614301,11.9278417668356,11.6339050721288,11.9019886402205,12.5181059383566,10.5136671723573,10.989610892028,10.4141755056703,12.23972027742,8.2672224590994,12.2722399424509,10.0493403687425,9.51547142540895,10.6686134124192,10.9841682186653,10.6171734655935,11.1886713168117
