"","R1","R2","R3","R4","R5","R6","R7","R8","R9","R10","R11","R12","R13","R14","R15","R16","R17","R18","R19","R20","R21","R22","R23","R24","R25","R26","R27","R28","R29","R30","R31","R32","R33","R34","R35","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","C13","C14","C15","C16","C17","C18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29"
"theta_B",17.1025473996997,12.6818634523079,12.3213382693939,19.121685763821,18.9715919643641,15.4218306019902,11.0664533125237,11.7673734435812,17.5533176702447,12.4064260022715,18.7555141118355,17.8719776519574,17.1168142580427,11.2369682267308,18.3783842111006,19.2587798996828,16.8596803792752,18.9709776313975,13.1035385956056,19.8522593872622,18.8748512044549,12.6417682459578,17.8077702783048,16.1348471487872,11.930545270443,17.7359476522543,18.1135359429754,17.7745795249939,10.9571720566601,14.7876652143896,17.1651431801729,13.6457293666899,13.7038807454519,12.6406368357129,17.411285538692,18.0919466656633,17.4942980078049,15.7320273946971,16.0631410242058,16.4740524836816,10.7344459439628,15.7112496322952,10.9225815464742,14.984092398081,14.2438386799768,15.7830465538427,15.6773165124469,18.1911805039272,11.8282266450115,17.9290993744507,17.0715673384257,14.132758944761,15.808018813841,14.2991695296951,12.8430394036695,15.849195679184,13.2641457929276,11.2496513151564,17.2893792740069,14.570501903072,16.5050090150908,18.9759940560907,17.2472822107375,12.4420450231992
"z_B_init",14.3517924682237,12.0363851753063,16.9267163565382,13.4414465981536,19.0074579557404,16.2315429421142,18.0733941798098,18.5418486665003,17.6559406192973,15.8667626837268,14.9220294645056,13.9068257622421,14.8898256360553,11.6288176644593,19.5748974732123,10.3449209732935,18.7747246958315,17.4373746500351,12.9555145534687,18.6519568040967,13.122430453077,16.0292976209894,13.4492147155106,10.5201875139028,12.9331520432606,19.412981106434,10.3075169911608,14.3083094828762,17.7005013241433,17.3891685623676,11.3720280933194,10.5788849433884,13.631971324794,18.2598756370135,13.027876035776,12.6523845293559,11.5333517221734,19.5219509932213,19.2512251785956,16.309212485794,18.226450139191,11.6802945593372,11.2265205103904,18.7691053003073,11.5467280661687,11.8459090963006,17.0246274047531,18.3717145514674,11.3770750607364,12.5135890790261,12.7368718245998,14.5912627503276,17.6841099117883,15.9108313918114,15.2549113496207,18.8785716169514,14.0366537147202,18.901288760826,16.4256176166236,13.3436997770332,11.2964578415267,14.255007498432,13.3146926551126,16.5394711191766
"z_B_final",13.8845621628164,12.1488299162422,11.7417743658836,13.9317790368114,14.11831535508,12.9851074348683,11.8227748964597,11.6005912984335,13.841832912754,12.3701805487973,13.7522407134284,14.1057553280192,13.4007339583019,11.6128968135247,13.979359711068,14.045568235539,13.3799015410603,14.285317448718,11.9304310792809,14.7497021701986,14.4004463147376,12.3374980572811,14.1436650987527,13.1600764220198,12.367377785306,14.0119777374436,14.1327955626158,14.2546060543433,12.004933309557,12.2110461232207,14.0516639945841,12.5789319447144,12.7508321844867,11.7485216234073,14.2142914442852,14.1521846423159,13.5295244858155,12.5402208784236,12.9782177529504,13.5182536379944,11.7430984877275,13.3346388868546,12.1087609834761,12.9202708945797,12.1117564294445,13.7578558326952,12.727087609435,13.813402695339,12.2267325981277,14.0487492396456,13.5356384499554,12.4732222946956,13.7017503559542,12.0547313143922,11.635450831431,12.0518717613856,12.7126006749721,11.9729606472341,14.334961059886,13.2434568852671,13.3184586711823,12.9187957143661,12.8366332026554,13.1419514516551
