"","R1","R2","R3","R4","R5","R6","R7","R8","R9","R10","R11","R12","R13","R14","R15","R16","R17","R18","R19","R20","R21","R22","R23","R24","R25","R26","R27","R28","R29","R30","R31","R32","R33","R34","R35","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","C13","C14","C15","C16","C17","C18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29"
"theta_B",11.0440556867979,17.0912694162689,12.7653308189474,11.8186875456013,12.8987634321675,18.8112249877304,15.392025585752,13.9922955352813,17.4439948005602,15.6642150715925,16.5092073660344,10.09086887585,16.5019816765562,13.3796210982837,19.3075518449768,12.4217510479502,11.6869174363092,17.9126672656275,12.2214881377295,16.5109448530711,14.6719348523766,12.7855288586579,18.7114652409218,15.8805733104236,14.7959209606051,19.4509045430459,15.6045586848632,13.6365374876186,12.3114595003426,12.6329388981685,18.2356347399764,18.0650895996951,19.4973552506417,12.3211807943881,10.6253329734318,19.3476371956058,11.1823843163438,12.4114470300265,19.0947063802741,15.556504803244,10.1098733721301,15.7531830668449,14.1597639932297,13.1165517680347,13.0870989663526,15.1427563140169,13.0416062334552,13.2410126295872,11.5062973857857,13.6971553601325,14.4269572012126,16.1647173785605,14.3643425242044,17.6687679765746,11.080299122259,11.6548577090725,16.8144462024793,12.5534234242514,15.4052768973634,15.7908627600409,10.6682728580199,16.2229010509327,12.8581526712514,11.7053388757631
"z_B_init",16.4843720500357,12.216255790554,15.253816889599,19.3461006227881,15.3069083159789,12.1145637542941,18.2508211745881,14.5973503775895,16.9284897600301,19.098275990691,13.2969346735626,11.4817450731061,16.9955281098373,11.8065584800206,17.4760892265476,16.7454836075194,19.4048139755614,15.2624892559834,16.6129435785115,11.9794577755965,14.4711211323738,19.643804775551,15.2550114877522,12.9236990795471,11.5632916870527,16.4833762915805,19.4083620188758,11.9686321238987,13.2584995124489,12.2642716788687,10.6221035891213,16.9016958284192,12.4213518435135,18.3282686816528,12.0251792715862,17.3446655413136,15.391243500635,15.0066451076418,11.0692027211189,16.6975390329026,14.6366130188107,12.0601922203787,10.9616912412457,17.4376059975475,15.257137150038,10.8525936258957,10.8109671995044,16.124813479837,19.3956496729515,11.2862607953139,15.4409385984764,19.650344287511,11.8364180321805,12.3683939664625,13.3944672718644,18.1883008382283,14.1859796247445,16.5737649495713,10.5215270142071,12.106567742303,16.2064490141347,19.4274110230617,19.9027060787193,16.0358331236057
"z_B_final",11.4265694262838,13.5563597954652,12.6479865689343,11.7164679473507,12.2155498134121,14.5010327714408,13.6553500495443,12.2150398684519,13.6730026106002,13.1413554420669,13.1969366076203,11.3469597680418,13.0384893748207,12.3298410460281,13.5669996792846,11.9291568974519,11.2889348532097,14.5956394101798,11.5650030115791,13.229203422126,12.4804504208652,11.5376603417494,14.9336292808667,14.0199109860709,13.2042317243949,14.5708621959676,13.0112025327571,12.8270007907763,12.1025715108468,12.1437644886489,15.1890436447378,13.0440460116184,14.6055377975153,11.5330943290113,12.9529105186622,14.7801438236557,11.6064106582275,11.8861008795004,14.8451481655757,13.4577739543625,11.2149574394186,13.1315040108627,12.2401874771256,12.2794529437676,12.2915649883029,13.4149526748832,12.0856243844492,13.2759057274823,11.6869318557862,12.5118969769164,12.4234302569552,14.0210525973861,12.3612059094762,13.7113949969932,11.7229898287959,11.9634277563964,14.5894296911406,12.3926780340418,12.0764164758012,12.4724299440068,12.6798756090155,13.5194389079903,13.1651591650655,13.315757499604
