"","R1","R2","R3","R4","R5","R6","R7","R8","R9","R10","R11","R12","R13","R14","R15","R16","R17","R18","R19","R20","R21","R22","R23","R24","R25","R26","R27","R28","R29","R30","R31","R32","R33","R34","R35","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","C13","C14","C15","C16","C17","C18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29"
"theta_B",15.9037367650308,17.1646322822198,16.3012615451589,16.3995387917385,19.4295401219279,13.3237192383967,17.6121932012029,15.768459001556,13.3219476719387,16.6400703298859,18.340660026297,19.5164521946572,17.5727915065363,17.2237870516255,17.7443755045533,11.2929522339255,16.0231915744953,19.8561391350813,16.3323711417615,17.5844431552105,15.8144672750495,10.8524400903843,10.4497556365095,19.5391913084313,18.5194209846668,10.5223330669105,18.6886785901152,15.6202541408129,12.7889377600513,15.0323532009497,16.6974250040948,19.1129686543718,12.0831537689082,17.3335684835911,13.8989982614294,15.2474733721465,14.1689680609852,12.7722855028696,10.3810363775119,19.1566321579739,12.3093079426326,11.1442736769095,14.5487986737862,13.3182875160128,16.1360183660872,10.4913073638454,13.1405040039681,18.4499861858785,17.6009470270947,13.3742197463289,10.3664026479237,17.0802913419902,12.826040587388,17.8069311683066,14.0713073848747,16.0285197803751,14.6895340946503,14.4059573835693,12.7337544527836,16.8923616176471,15.7218478061259,17.8111653053202,11.4063896611333,16.810439734254
"z_B_init",17.3057690542191,12.3443532548845,17.1383401029743,19.7612618934363,18.9535715617239,18.1198591738939,13.1606800551526,19.4575875368901,11.6425781627186,11.39321584953,11.4305943250656,14.165944068227,17.6231064135209,16.6447345796041,15.2155325445347,14.26481585484,16.73010350205,18.6349672544748,17.4576749815606,19.224045521114,10.9870553878136,11.3404151774012,11.5964909316972,15.7876935042441,15.2318802289665,13.9929961413145,10.1478225667961,17.144159078598,17.3358267196454,18.1921959947795,10.4706991184503,16.0774259571917,18.1240675970912,18.1537059112452,17.4083386478014,10.1690329168923,19.0532812452875,16.7982167378068,17.4331111367792,12.4310838244855,14.1389050171711,15.6487122504041,15.7565546804108,14.85401712358,19.7856304328889,12.7510640257969,15.741299581714,19.7514559049159,13.7348077818751,18.48610969726,11.9896992179565,16.8528398592025,11.6935654077679,19.4529763492756,18.694270204287,18.2831581449136,13.219997191336,18.0503358482383,17.3613332305104,13.0147052765824,12.0102117513306,16.9434232823551,17.1125722094439,18.65734861698
"z_B_final",13.9883809686341,15.176421392207,14.8114418587451,14.6156272979982,15.0351414985058,13.5475961700147,14.6735693350851,13.8682229231113,13.381752601433,13.6918277549484,15.4770179897838,15.8751534580917,15.1314520690724,14.6929784455081,14.7902385442461,12.6689963002797,14.3061628497139,16.6553186762908,14.7262561968682,14.5136007656432,14.1285592048843,12.7522701572693,12.8889708975243,16.5783513448123,16.4054459787602,13.9789296323349,16.0217730906777,13.6979375517537,13.2617786899714,14.5282848148451,14.5330901096509,15.1714375430628,14.5499066499907,14.5078679926404,13.7364003665892,14.2279841433577,14.0296769704097,13.7312756055471,12.696350606783,15.9577601093593,13.0289629342468,13.2544807924835,14.5866980893617,13.9674008956908,14.7868157255044,12.7416644187385,13.5908072827531,15.3067577126261,15.0919524754083,13.6983767647325,12.4233956294325,14.5621340232723,13.4534527341259,15.376575029439,13.5626103733886,14.716965442072,15.6824575186949,14.6904705318003,13.24678709944,15.0272133416726,16.0010574808004,15.2892820491767,13.42670099384,16.4220806945882
