"g","network","site","mean_final_mut_mat","mutualism","m_A","m_B","alpha","phi","theta_A","theta_B"
0,"FP_Sorensen_1981_bin","A",0.77395347508931,"FP",0.7,0.7,0.05,0.5,"0-10","10-20"
0,"FP_Sorensen_1981_bin","B",0.786315020856814,"FP",0.7,0.7,0.05,0.5,"0-10","10-20"
0,"PP_Arroyo_etal_1982_1_bin","A",0.775848980610074,"PP",0.7,0.7,0.05,0.5,"0-10","10-20"
0,"PP_Arroyo_etal_1982_1_bin","B",0.771479950522668,"PP",0.7,0.7,0.05,0.5,"0-10","10-20"
0,"PP_Barrett&Helenurm_1987_bin","A",0.790829775127379,"PP",0.7,0.7,0.05,0.5,"0-10","10-20"
0,"PP_Barrett&Helenurm_1987_bin","B",0.792930072730469,"PP",0.7,0.7,0.05,0.5,"0-10","10-20"
0,"PP_Dicks_etal_2002_SH_bin","A",0.779150129174394,"PP",0.7,0.7,0.05,0.5,"0-10","10-20"
0,"PP_Dicks_etal_2002_SH_bin","B",0.783226685714685,"PP",0.7,0.7,0.05,0.5,"0-10","10-20"
0,"PP_Elberling&Olesen_1999_bin","A",0.77552307961514,"PP",0.7,0.7,0.05,0.5,"0-10","10-20"
0,"PP_Elberling&Olesen_1999_bin","B",0.783260750627016,"PP",0.7,0.7,0.05,0.5,"0-10","10-20"
0,"PP_Hocking_1968_bin","A",0.784403395833354,"PP",0.7,0.7,0.05,0.5,"0-10","10-20"
0,"PP_Hocking_1968_bin","B",0.781068041274877,"PP",0.7,0.7,0.05,0.5,"0-10","10-20"
0,"PP_Kaiser-Bunbury_etal_2009_bin","A",0.764268727490574,"PP",0.7,0.7,0.05,0.5,"0-10","10-20"
0,"PP_Kaiser-Bunbury_etal_2009_bin","B",0.773064557222511,"PP",0.7,0.7,0.05,0.5,"0-10","10-20"
0,"PP_Medan_etal_2002_RB_bin","A",0.797198294703759,"PP",0.7,0.7,0.05,0.5,"0-10","10-20"
0,"PP_Medan_etal_2002_RB_bin","B",0.792328772112393,"PP",0.7,0.7,0.05,0.5,"0-10","10-20"
0,"PP_Ollerton_etal_2003_bin","A",0.791766819643578,"PP",0.7,0.7,0.05,0.5,"0-10","10-20"
0,"PP_Ollerton_etal_2003_bin","B",0.778167600500533,"PP",0.7,0.7,0.05,0.5,"0-10","10-20"
0,"PP_Ramirez&Brito_1992_bin","A",0.787840658478008,"PP",0.7,0.7,0.05,0.5,"0-10","10-20"
0,"PP_Ramirez&Brito_1992_bin","B",0.79253224243929,"PP",0.7,0.7,0.05,0.5,"0-10","10-20"
0,"PP_Santos_etal_2010_bin","A",0.770863110998992,"PP",0.7,0.7,0.05,0.5,"0-10","10-20"
