"g","network","site","mean_final_mut_mat","lower_lim_final_mut_mat","upper_lim_final_mut_mat","mutualism","m_A","m_B"
0,"FP_Sorensen_1981_bin","B",0.720116035521031,0.484793957037408,0.902415722249477,"FP",0.7,0.7
0,"PP_Arroyo_etal_1982_1_bin","A",0.660634702504577,0.542782446350729,0.764095198806713,"PP",0.7,0.7
0,"PP_Arroyo_etal_1982_1_bin","B",0.647078857247112,0.572266835800509,0.746865052186755,"PP",0.7,0.7
0,"PP_Barrett&Helenurm_1987_bin","A",0.709348454532588,0.573173511268754,0.847302770335157,"PP",0.7,0.7
0,"PP_Barrett&Helenurm_1987_bin","B",0.697979719740905,0.60427306980266,0.81389576702951,"PP",0.7,0.7
0,"PP_Dicks_etal_2002_SH_bin","A",0.697301442264301,0.545838304276486,0.827822400749059,"PP",0.7,0.7
0,"PP_Dicks_etal_2002_SH_bin","B",0.681439518107799,0.552033278126884,0.791480435987155,"PP",0.7,0.7
0,"PP_Elberling&Olesen_1999_bin","A",0.6727754164967,0.598817049066234,0.763595645628346,"PP",0.7,0.7
0,"PP_Elberling&Olesen_1999_bin","B",0.67024065214893,0.565292056898601,0.780239052164225,"PP",0.7,0.7
0,"PP_Hocking_1968_bin","A",0.69970104189569,0.578810286583978,0.799741999122418,"PP",0.7,0.7
0,"PP_Hocking_1968_bin","B",0.665187147027496,0.582161828485641,0.784825355563444,"PP",0.7,0.7
0,"PP_Kaiser-Bunbury_etal_2009_bin","A",0.626253755633278,0.497400110935833,0.72696232150553,"PP",0.7,0.7
0,"PP_Kaiser-Bunbury_etal_2009_bin","B",0.645569972342881,0.506790053961053,0.738326015341016,"PP",0.7,0.7
0,"PP_Medan_etal_2002_RB_bin","A",0.715769431065743,0.59859653516334,0.813753438247477,"PP",0.7,0.7
0,"PP_Medan_etal_2002_RB_bin","B",0.719627241421455,0.607823339020676,0.817764211676829,"PP",0.7,0.7
0,"PP_Ollerton_etal_2003_bin","A",0.684963834827987,0.554038356988995,0.82815848259341,"PP",0.7,0.7
0,"PP_Ollerton_etal_2003_bin","B",0.711696330306228,0.578110797418915,0.817529452112573,"PP",0.7,0.7
0,"PP_Ramirez&Brito_1992_bin","A",0.704952393382197,0.634353285767118,0.781647174912411,"PP",0.7,0.7
0,"PP_Ramirez&Brito_1992_bin","B",0.702538330487051,0.646185778788189,0.787472574852158,"PP",0.7,0.7
0,"PP_Santos_etal_2010_bin","A",0.656703604019755,0.494390577681682,0.799945848531751,"PP",0.7,0.7
0,"PP_Santos_etal_2010_bin","B",0.657745032310339,0.536289845842072,0.791985063017532,"PP",0.7,0.7
0,"PP_Vazquez_etal_2002_ArroyoGoye_bin","A",0.7653224647046,0.66808002167667,0.876254023567959,"PP",0.7,0.7
0,"PP_Vazquez_etal_2002_ArroyoGoye_bin","B",0.757464427048849,0.643085435374237,0.859079930496227,"PP",0.7,0.7
0,"PP_Vazquez_etal_2002_CerroLopez_bin","A",0.761619498519804,0.652816758516616,0.864198828718403,"PP",0.7,0.7
0,"PP_Vazquez_etal_2002_CerroLopez_bin","B",0.742190695208962,0.622219441023124,0.841462045901874,"PP",0.7,0.7
0,"PP_Vazquez_etal_2002_Mascardi(c)_bin","A",0.746534197408011,0.60820756239331,0.871049477678149,"PP",0.7,0.7
0,"PP_Vazquez_etal_2002_Mascardi(c)_bin","B",0.757770618172257,0.637434567463661,0.878685210227818,"PP",0.7,0.7
0.025,"AE_Rico-Gray_benito_bin","A",0.721085848692928,0.56426816273187,0.821228547823659,"AE",0.7,0.7
0.025,"AE_Rico-Gray_benito_bin","B",0.705184504684093,0.584880994718857,0.788982649290389,"AE",0.7,0.7
0.025,"AE_Rico-Gray_mancha_bin","A",0.692893931092136,0.553874767708285,0.785962515659713,"AE",0.7,0.7
0.025,"AE_Rico-Gray_mancha_bin","B",0.696000646454325,0.581422808596772,0.791458188262853,"AE",0.7,0.7
0.025,"AE_Rico-Gray_zapo_bin","A",0.704303962095728,0.530926894242684,0.821773418562185,"AE",0.7,0.7
0.025,"AE_Rico-Gray_zapo_bin","B",0.702236131425908,0.554982968149601,0.782708689021471,"AE",0.7,0.7
0.025,"AM_Izzo_mtcDIM100_bin","A",0.868675554043304,0.739532012415348,0.957665763417979,"AM",0.7,0.7
0.025,"AM_Izzo_mtcDIM100_bin","B",0.863678859393409,0.766182868547661,0.936347578126128,"AM",0.7,0.7
0.025,"AM_Izzo_mtcFLO_bin","A",0.822069540769597,0.713851525680206,0.924247118107673,"AM",0.7,0.7
0.025,"AM_Izzo_mtcFLO_bin","B",0.813745246605338,0.69953259382793,0.906377743926809,"AM",0.7,0.7
0.025,"AM_Izzo_mtcPA10_bin","A",0.886179981978242,0.80115167426799,0.952684176530865,"AM",0.7,0.7
0.025,"AM_Izzo_mtcPA10_bin","B",0.894832399291332,0.80787565688735,0.963795619335345,"AM",0.7,0.7
0.025,"AM_Izzo_mtcPAcamp_bin","A",0.843868885552826,0.729662763259296,0.923517804807319,"AM",0.7,0.7
0.025,"AM_Izzo_mtcPAcamp_bin","B",0.839107211954848,0.737404570414568,0.944909088060022,"AM",0.7,0.7
0.025,"CC_Sazima_bin","A",0.742476209879008,0.528441578268373,0.882052756381069,"CC",0.7,0.7
0.025,"CC_Sazima_bin","B",0.727699221163772,0.539524343668142,0.859192698431755,"CC",0.7,0.7
0.025,"CC_Wicksten_1998_bin","A",0.713549360901993,0.533158790081941,0.86533989507362,"CC",0.7,0.7
0.025,"CC_Wicksten_1998_bin","B",0.708618359644578,0.5386163781182,0.843880652154078,"CC",0.7,0.7
0.025,"FA_Ricciardi_etal_2010_Bahowo_bin","A",0.809702789720345,0.67115261412845,0.939517215651367,"FA",0.7,0.7
0.025,"FA_Ricciardi_etal_2010_Bahowo_bin","B",0.798349714395916,0.66107204821853,0.919168820102285,"FA",0.7,0.7
0.025,"FA_Ricciardi_etal_2010_Bualo_bin","A",0.793596426899769,0.614642397462543,0.91737769459313,"FA",0.7,0.7
0.025,"FA_Ricciardi_etal_2010_Bualo_bin","B",0.797143046952003,0.66830507790435,0.915299421500516,"FA",0.7,0.7
0.025,"FA_Ricciardi_etal_2010_JalanMasuk_bin","A",0.826811843843149,0.625342205644743,0.960174208752265,"FA",0.7,0.7
0.025,"FA_Ricciardi_etal_2010_JalanMasuk_bin","B",0.820636958505617,0.661330466271477,0.973322684756024,"FA",0.7,0.7
0.025,"FA_Ricciardi_etal_2010_Likuan1_bin","A",0.821667412414948,0.652400736580475,0.960329130000742,"FA",0.7,0.7
0.025,"FA_Ricciardi_etal_2010_Likuan1_bin","B",0.850392661399396,0.717353746142162,0.982075424181193,"FA",0.7,0.7
0.025,"FA_Ricciardi_etal_2010_Mandolin_bin","A",0.819659377612934,0.672607032291734,0.92427040984784,"FA",0.7,0.7
0.025,"FA_Ricciardi_etal_2010_Mandolin_bin","B",0.832949392347479,0.67817215385327,0.940230502743736,"FA",0.7,0.7
0.025,"FA_Ricciardi_etal_2010_TanjungKopi_bin","A",0.803392689293931,0.661018962614408,0.904454818303244,"FA",0.7,0.7
0.025,"FA_Ricciardi_etal_2010_TanjungKopi_bin","B",0.80392957706909,0.656272473756334,0.938802018658504,"FA",0.7,0.7
0.025,"FP_Baird_1980_bin","A",0.751862893718105,0.559596181560246,0.882503092347285,"FP",0.7,0.7
0.025,"FP_Baird_1980_bin","B",0.732225203397706,0.534631107914012,0.902027467794107,"FP",0.7,0.7
0.025,"FP_Beehler_1983_bin","A",0.708451161760264,0.500566865392612,0.850044099308814,"FP",0.7,0.7
0.025,"FP_Beehler_1983_bin","B",0.686819445633893,0.479470653000578,0.814502437872452,"FP",0.7,0.7
0.025,"FP_Carlo_etal_2003_Caguana_bin","A",0.73622901000722,0.592402099733384,0.848193845002484,"FP",0.7,0.7
