"","R1","R2","R3","R4","R5","R6","R7","R8","R9","R10","R11","R12","R13","R14","R15","R16","R17","R18","R19","R20","R21","R22","R23","R24","R25","R26","R27","R28","R29","R30","R31","R32","R33","R34","R35","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","C13","C14","C15","C16","C17","C18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29"
"theta_A",6.22180737555027,5.56432894431055,6.5594347869046,8.51743189385161,9.88220355706289,9.5662629744038,3.7185393110849,5.61288953991607,0.565550848841667,7.55650373874232,8.06309443200007,1.98347293538973,4.93274184409529,0.263358757365495,7.98753846203908,4.41474936436862,4.90451428806409,6.97040396044031,2.81582127790898,0.604417752474546,0.985238088760525,2.12379249278456,3.78188393544406,9.58524607820436,4.43527613067999,0.763923509512097,8.55422770371661,5.21590185118839,1.75651978701353,3.20375798735768,8.16278452984989,1.60504462663084,8.78554079914466,0.703122566919774,2.79877179302275,5.74682268314064,2.96315226703882,5.8935720520094,1.74092992441729,8.29937228467315,8.6649223184213,7.86974901100621,1.42670232569799,0.172956790775061,5.06789589533582,9.86407994991168,6.45383548457175,9.08308814745396,5.55307863978669,0.281444112770259,4.81381045654416,6.35100284125656,3.12961186515167,2.58889858610928,4.74492512876168,8.43269817763939,3.14902218757197,4.12239575991407,7.3850351315923,8.19211086025462,1.27937621437013,5.71726533118635,6.03355968371034,8.46844672923908
"1",9.45574732497334,5.46312251128256,1.18512826273218,5.82419672980905,0.263431021012366,6.7125107999891,7.74485436733812,6.96518626296893,2.29927427368239,1.44056072924286,3.64640193525702,8.6915413918905,4.9333167122677,0.981136502232403,8.23099291650578,7.66603646334261,0.123341241851449,0.933547019958496,5.5258054076694,4.29545999970287,5.48233023146167,9.86876664683223,7.42193004814908,8.32032178761438,6.82845774339512,7.50503189163283,7.1913453261368,9.1707696695812,6.54622548725456,5.65508692292497,2.73654197109863,1.78922786610201,7.94719676021487,6.73192729707807,8.27144359471276,3.2345875678584,1.59131290856749,8.77810596954077,4.344021466095,3.66695031523705,1.37578149791807,1.33043362759054,2.96485052676871,2.3572582565248,5.15349403489381,9.95659956242889,1.9544502790086,7.91090583894402,5.12714780401438,6.00911364890635,5.88750425959006,0.0832877168431878,8.01164007047191,3.20697026327252,2.1753985946998,6.03305115131661,9.74489888176322,8.51063700160012,2.57419044617563,3.3742830879055,6.55100004980341,2.34886017162353,4.10361413145438,4.20678391586989
"2",8.70318638278044,5.17135486044652,2.57473785248828,5.88673841357717,2.18238746751258,7.02544850186671,6.95298061044572,6.55986185444937,2.03846881325729,2.56271215636225,4.26463705363225,5.83401917187954,4.50279101067976,1.36821571906762,5.75177434808647,5.58357423881595,1.45148416449314,2.15520751141007,4.94610625061026,3.1912236175111,4.85473665332601,5.8860420620959,5.46420431738929,8.50214857847016,5.3584364368006,5.17070656959207,6.10336500974434,8.66171609649897,5.5988499890757,5.13596455429434,3.75460644438178,1.69676617364724,6.57438870709484,6.54442616445988,5.65218572135477,3.73405431441135,1.86639961033845,8.00232058520771,4.39439666090007,4.53979308892261,2.56230089624473,2.352108141113,3.19391381221477,2.16711068302625,5.3568923201201,9.71443202743838,2.27532076111179,7.54405689664065,4.95369092685824,5.09283209003571,6.15649902701216,3.31363920195112,7.3212179546363,3.11952106598964,2.3234377537271,4.68738296013754,8.24397332365174,6.54317758873975,5.69370472586785,4.90331484540637,6.39330468585615,2.42937262088242,5.64064162202583,3.66815056853626
"3",7.97060407536855,5.00434569844669,3.42659779903641,6.03175268175773,3.44009726205089,7.12942538779566,6.06324415884011,6.21673920544599,2.03202865941519,3.42797426544436,4.82245582862647,4.57154277882789,4.52721553669161,1.62695529407961,4.65853407050774,4.61174254277961,2.43847962904475,3.00833397735325,4.61537009696635,2.6759547792729,4.18426394833188,3.95180397127387,4.72097663167597,8.3740397418241,4.93479815792129,4.28976306998327,5.84171136121405,8.36569210967511,4.75057514591413,4.94266756156723,4.44075311504004,1.74126801824989,6.19868898746313,6.1811870563704,4.54468116477217,4.27025008212452,2.29285669734102,7.34033858726434,4.10153983985317,5.2737219677562,3.5187686260394,3.44728921077489,3.52200461660343,2.16226724849377,5.38808590680552,9.36828766063772,2.868351512737,7.42574020595968,4.80071104524505,4.25686319030995,6.18465499386357,5.03458949589645,6.68017716492376,3.27141551235375,2.81404609904567,4.1208259630805,7.55496822288614,5.42141797242641,6.99659651645198,5.7040516464636,6.37408586301311,2.9668541894682,6.1505857228687,3.82254146679304
"4",7.30892758584845,4.9400053020726,4.05009652305301,6.1699365804831,4.35597525827561,7.1156414219337,5.43633375412062,5.85255896678247,2.18877339306592,4.16953651344105,5.1778682136221,3.9829256430157,4.63984750722299,1.85952890372123,4.28871783860165,4.27525606967023,3.22635666932747,3.61633067324661,4.32359878931377,2.54984809854593,3.52375411047127,3.11322494858679,4.47191430289288,8.11692743716216,4.98528185300337,4.0962445072398,5.92885747197841,8.17047392648386,3.96839917938588,4.85508947418809,4.96934017444509,1.90852933558218,6.26946001601362,5.76852207151783,4.19489194637206,4.58635351998243,2.74937327482062,6.78110204771954,3.89865531396878,5.65674987819523,4.34746462686199,4.42489854997937,3.68642456483614,2.33658046206617,5.36555473360038,9.01985051171319,3.53091581106114,7.38818783761694,4.73943872780328,3.62051570134535,6.0623849801793,5.70856414659461,6.13737463326257,3.48810179930437,3.4214685603979,3.91446385869408,7.13367383037536,4.96767420505698,7.39463535638663,6.16298818159089,6.32052730737242,3.53757818552528,6.10343050953063,4.19955355390044
"5",6.76152097957781,4.9504632245561,4.53202557015168,6.2499454017564,4.92553812489262,7.12321352536499,5.08484477256263,5.52002655099786,2.42000301120359,4.7877774689358,5.3904279349091,3.74717777482012,4.71430965233553,2.03294345693828,4.27849170646402,4.25758588525376,3.83967570329405,4.12817082523355,4.07418565865483,2.61014100792922,2.99816461740292,2.84315320207933,4.37656402130692,7.86851622604346,5.14757849315225,4.12991380592369,6.07091784015421,7.98867478925064,3.34421073017204,4.80256647978548,5.34441040431426,2.15016234217116,6.4389135303622,5.36643734908194,4.1379232186874,4.76723405859605,3.08364423828792,6.33074683640004,3.93867728560261,5.89797162810275,5.06953378970694,5.09119265843316,3.73215991559634,2.46968819900964,5.31489672949412,8.70957962218492,4.19792087567307,7.36242671238642,4.77427403681222,3.19089137901765,5.8451913790223,5.94148550157353,5.69112019443545,3.66195758522859,4.04273630037732,3.88576693497188,6.72228665214761,4.82504762006717,7.36326516497595,6.44544993961606,6.20532011578529,4.04294286953299,5.86309829696738,4.60370599915083
"6",6.32681398827645,4.99946852674716,4.90736497992119,6.30086786076776,5.33407437681709,7.1442021595276,4.92552697501548,5.32160186975392,2.64394759634413,5.24605204745525,5.56270648034226,3.66886330288206,4.76521195884348,2.1239244093568,4.39653719903232,4.3641372004131,4.30124594211531,4.6066698261263,3.91265301182472,2.72753164621738,2.65295332237273,2.82062107694475,4.3503961055459,7.63164798822052,5.31511864239289,4.22979299997347,6.20661053625698,7.80188492584632,2.93440541015093,4.75805488990111,5.59615958550699,2.38943143260288,6.60765053891529,5.00738108256134,4.17582409362228,4.89370747200863,3.32230152972699,5.99137029519022,4.0697131725661,6.06496288193031,5.61490368760883,5.53653333115975,3.75463649780181,2.4787878446453,5.25870825108578,8.42660537673224,4.7753273692127,7.34483979824975,4.87479484039787,2.83475214344442,5.64175371472617,6.03085160343841,5.39368945856464,3.81396706280033,4.52507615877256,3.92916560678056,6.24666215587938,4.80156296492997,7.15627904292615,6.61751917028242,6.0613380745073,4.4653028765761,5.61936552838678,4.98796579147154
"7",6.04596086757696,5.05796506274425,5.18983351015175,6.35275694063833,5.70773205966707,7.17982613381109,4.86540395990649,5.25425873514039,2.83225038717177,5.53635903808127,5.72246264368426,3.65251640286736,4.80078749495524,2.1417417543905,4.54120694529588,4.49324553980054,4.64546305070035,5.0456046980916,3.83533593531499,2.8450605723666,2.41489884186562,2.89128437431815,4.36279952806268,7.39155966082836,5.45872842353565,4.33766698416343,6.32343027572996,7.61547685143262,2.66113295355732,4.71568862403953,5.76681384506412,2.59518290101894,6.75000304391722,4.70847713362831,4.24059768231665,4.99249670011401,3.49971828304316,5.75930157337091,4.19260442965397,6.18305948316357,5.9765327739963,5.8324022368567,3.7792203752027,2.40793463430017,5.20754949992444,8.15405130612265,5.19104093850039,7.33326943118154,4.99859137002684,2.52027138695728,5.51213417594483,6.07493720314585,5.24442854316002,3.95344734835937,4.8294326742219,3.98219336470867,5.77023463608609,4.82549748020421,6.90051691439562,6.72310981293358,5.90647520521884,4.80846586942943,5.44020554640601,5.35045948855782
"8",5.89267402620232,5.11369671034683,5.39392287332485,6.41035045543331,6.09400249121066,7.2245793304585,4.84484848754361,5.25488525950835,2.98787988124413,5.7134202675203,5.87166684854635,3.66269213543045,4.82713387221952,2.10671915101745,4.67617445651877,4.60938513166782,4.89890335637978,5.38665444960714,3.81506700590461,2.94979064163898,2.22705887904016,2.98834622593307,4.39607486526143,7.1583759369983,5.57286711432156,4.43279168411895,6.41885896457734,7.43035982058693,2.45609809093409,4.67617754834432,5.88682318428824,2.762723314449,6.86210782313056,4.47710880760412,4.30850848331094,5.07307140165183,3.633921488825,5.6160875990595,4.28623549072953,6.27101030250888,6.20253635957748,6.03020288504082,3.80403343499401,2.29482856579107,5.16619324928771,7.90238510450055,5.46058649590533,7.32876321385509,5.11549584456491,2.24767612380669,5.44435722738581,6.10366289743402,5.1817933828709,4.07683797368882,5.01734799990614,4.0156284082555,5.44157373775785,4.86747246183778,6.67402212941142,6.79518649898827,5.74491271736839,5.07922703330084,5.32817308011182,5.68805787878718
"9",5.81792440807389,5.16391213551622,5.53962238583135,6.46752023927153,6.48468273126159,7.26957512446277,4.83953012844257,5.28008595036493,3.11818091436653,5.82576865176555,6.00585523942423,3.684555761047,4.85088470581039,2.03733479714655,4.79057013487491,4.70628882026546,5.08303884136102,5.63265503996718,3.82574203857353,3.0404605226864,2.06442855450821,3.08398290858018,4.43868653274068,6.95837293818239,5.66146827211562,4.51111393180329,6.49533268991626,7.25172347251283,2.28604904759093,4.64155532413118,5.97489736301133,2.89568348762509,6.94862056543888,4.31062109721475,4.37132281509163,5.14005321746592,3.73527733992687,5.53569527539496,4.35502239650036,6.34139439132341,6.34569655467103,6.17258595076992,3.82654385872219,2.15911877391735,5.13673215916676,7.70970353906192,5.63329688691924,7.33128115126871,5.21557611385877,2.01829708482662,5.41503732497106,6.12649639322987,5.16106841248516,4.18083533799951,5.13952595611661,4.02117122154061,5.29229458617711,4.91430341899104,6.50678389515497,6.85220804925236,5.58225416657365,5.28613485126424,5.2639964582277,5.97875541283554
"10",5.78660033605574,5.20913669756157,5.64509795295274,6.52012537840971,6.83632365032049,7.3101101770558,4.84126069276053,5.31120744293493,3.22781831054008,5.90174435349432,6.12212253306593,3.71035248058797,4.87651640806957,1.94750569972729,4.88297075270655,4.78565702036072,5.21639237373979,5.82331250384593,3.84964168886565,3.11732508298899,1.9180875001785,3.16758805992488,4.48328042364551,6.80193206930502,5.7310010639083,4.57490393569495,6.55721226893924,7.09621965860044,2.13724293944494,4.61359137864045,6.04213574784753,2.99946273880934,7.01626416496155,4.19866274234623,4.42667183071903,5.19612064805694,3.81170659573348,5.49587784028965,4.40375325038306,6.40035219093435,6.44073665734417,6.28443498286316,3.84659758941139,2.01444793558726,5.11827630972689,7.59909390596802,5.74807490120511,7.33871900625332,5.29834974409726,1.83005810229891,5.40798635295341,6.14639394158637,5.16067011362462,4.26588972743019,5.22324182825986,4.00073277962602,5.25382670303052,4.96022730089794,6.39672631299366,6.90141314369164,5.4303403357051,5.4405732813569,5.229461306621,6.21237926393388
